model,axis,strength,effect,baseline_gap,normalized_steerability,input_path
Qwen3.6-35B-A3B,warmth,-0.1,-1.01875,19.174999999999997,-0.053129074315515,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,-0.05,-0.5,19.174999999999997,-0.026075619295958283,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,0.0,0.0,19.174999999999997,0.0,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,0.05,0.45,19.174999999999997,0.023468057366362455,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,warmth,0.1,0.821875,19.174999999999997,0.04286179921773143,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Gemma-3-12B,competence,-0.1,-0.98125,14.1,-0.06959219858156028,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,competence,-0.05,-1.04375,14.1,-0.07402482269503546,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,competence,0.0,0.0,14.1,0.0,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,competence,0.05,0.59375,14.1,0.04210992907801418,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-12B,competence,0.1,1.98125,14.1,0.14051418439716312,results/tables/steering_dense_gemma3_12b.csv
Gemma-3-27B,competence,-0.1,-1.58125,23.6375,-0.0668958223162348,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,competence,-0.05,-0.5875,23.6375,-0.024854574299312534,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,competence,0.0,0.0,23.6375,0.0,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,competence,0.05,0.25,23.6375,0.010576414595452142,results/tables/steering_dense_gemma3_27b.csv
Gemma-3-27B,competence,0.1,0.2125,23.6375,0.008989952406134321,results/tables/steering_dense_gemma3_27b.csv
Llama-3.1-8B,competence,-0.1,-0.103125,7.70625,-0.01338199513381995,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,competence,-0.05,-0.084375,7.70625,-0.010948905109489052,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,competence,0.0,0.0,7.70625,0.0,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,competence,0.05,0.075,7.70625,0.009732360097323601,results/tables/steering_dense_llama31_8b.csv
Llama-3.1-8B,competence,0.1,0.18125,7.70625,0.023519870235198703,results/tables/steering_dense_llama31_8b.csv
Gemma-4-12B,competence,-0.1,-1.2162109375,38.632421875000006,-0.03148161255422198,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,competence,-0.05,-0.8373046875,38.632421875000006,-0.02167362662918735,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,competence,0.0,0.0,38.632421875000006,0.0,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,competence,0.05,1.13785400390625,38.632421875000006,0.02945334381540763,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-12B,competence,0.1,2.6565093994140625,38.632421875000006,0.06876372928442147,results/tables/steering_dense_gemma4_12b_calibrated_ccu_h100.csv
Gemma-4-26B-A4B,competence,-0.1,-0.2671875,42.840625,-0.006236778758479831,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,competence,-0.05,-0.10625,42.840625,-0.002480122547231745,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,competence,0.0,0.0,42.840625,0.0,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,competence,0.05,0.0203125,42.840625,0.000474141075206069,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-26B-A4B,competence,0.1,-0.06875,42.840625,-0.0016047851776205412,results/tables/steering_dense_gemma4_26b_a4b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,competence,-0.1,0.34140625,51.279687499999994,0.006657728754684788,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,competence,-0.05,0.10625,51.279687499999994,0.00207197050489046,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
