model,predictor,pearson_r,pearson_p,standardized_ols_beta,ols_r2,n_names
gemma4_12b,human_callback,0.10491162637180762,0.20289687242136611,0.013238782792481462,0.14018886359079152,149
gemma4_12b,model_warmth,-0.056086715464010506,0.49688769279365846,-0.03717370764817643,0.14018886359079152,149
gemma4_12b,model_competence,0.32574708517711143,5.037116641185336e-05,0.07191384494287038,0.14018886359079152,149
