axis,strength,name,margin,delta
warmth,-0.05,darius jackson,-0.75,-0.625
warmth,-0.05,latoya,-0.75,-0.625
warmth,-0.05,thomas,-0.75,-0.625
warmth,-0.05,amy wood,-0.5,-0.25
warmth,0.0,kenneth,-0.25,0.0
warmth,0.0,ashley,0.0,0.0
warmth,0.0,lucas peterson,0.0,0.0
warmth,0.0,james yoder,-0.125,0.0
warmth,0.0,amy wang,-0.25,0.0
warmth,0.0,kevin,-0.25,0.0
warmth,0.0,edona sanatroug,-0.25,0.0
warmth,0.0,tremayne,-0.125,0.0
warmth,0.0,joyce,-0.125,0.0
warmth,0.0,shirley,-0.125,0.0
warmth,0.0,aferdita dzaghig,-0.25,0.0
warmth,0.0,lauren,-0.125,0.0
warmth,0.0,brandom,-0.625,0.0
warmth,0.0,shakir imtiaz,-0.25,0.0
warmth,0.0,jeffrey,-0.25,0.0
warmth,0.0,brett,-0.125,0.0
warmth,0.0,kyler,-0.375,0.0
warmth,0.0,chritine,-0.25,0.0
warmth,0.0,latasha,-0.125,0.0
warmth,0.0,abu amjad khazin,-0.5,0.0
warmth,0.0,yong zhang,-0.125,0.0
warmth,0.0,meredith miller,0.0,0.0
warmth,0.0,jamal,-0.25,0.0
warmth,0.0,mack,-0.25,0.0
warmth,0.0,jonathan,-0.125,0.0
warmth,0.0,carrie,-0.125,0.0
warmth,0.0,zachary,-0.375,0.0
warmth,0.0,william novak,0.0,0.0
warmth,0.0,joshua,-0.25,0.0
warmth,0.0,amber sullivan,-0.25,0.0
warmth,0.0,sarah davis,-0.125,0.0
warmth,0.0,adam,-0.25,0.0
warmth,0.0,shreya sharma,-0.125,0.0
warmth,0.0,donnell,-0.25,0.0
warmth,0.0,patrice,0.0,0.0
warmth,0.0,sarah,0.0,0.0
warmth,0.0,lei li,-0.125,0.0
warmth,0.0,janet,-0.125,0.0
warmth,0.0,susan,-0.125,0.0
warmth,0.0,lashonda,-0.125,0.0
warmth,0.0,brad,-0.25,0.0
warmth,0.0,michael smith,-0.125,0.0
warmth,0.0,deborah,-0.25,0.0
warmth,0.0,tara singh,-0.125,0.0
warmth,0.0,courtney,-0.125,0.0
warmth,0.0,carrie martin,-0.125,0.0
warmth,0.0,mamuud irshad,-0.5,0.0
warmth,0.0,ava,-0.125,0.0
warmth,0.0,dziella lousaper,-0.5,0.0
warmth,0.0,abdullah abukar,-0.125,0.0
warmth,0.0,bill zhang,-0.375,0.0
warmth,0.0,hina chaudhry,-0.125,0.0
warmth,0.0,robert,-0.375,0.0
warmth,0.0,joan,-0.125,0.0
warmth,0.0,anne,-0.125,0.0
warmth,0.0,jack li,-0.25,0.0
warmth,0.0,darius jackson,-0.125,0.0
warmth,0.0,latoya,-0.125,0.0
warmth,0.0,thomas,-0.125,0.0
warmth,0.0,amy wood,-0.25,0.0
warmth,0.05,kenneth,1.375,1.625
warmth,0.05,ashley,1.4375,1.4375
warmth,0.05,lucas peterson,1.375,1.375
warmth,0.05,james yoder,1.25,1.375
warmth,0.05,amy wang,1.375,1.625
warmth,0.05,kevin,1.25,1.5
warmth,0.05,edona sanatroug,1.125,1.375
warmth,0.05,tremayne,1.125,1.25
warmth,0.05,joyce,1.375,1.5
warmth,0.05,shirley,1.25,1.375
warmth,0.05,aferdita dzaghig,1.1875,1.4375
warmth,0.05,lauren,1.3125,1.4375
warmth,0.05,brandom,0.75,1.375
warmth,0.05,shakir imtiaz,1.3125,1.5625
warmth,0.05,jeffrey,1.3125,1.5625
warmth,0.05,brett,1.25,1.375
warmth,0.05,kyler,0.9375,1.3125
warmth,0.05,chritine,1.25,1.5
warmth,0.05,latasha,1.375,1.5
warmth,0.05,abu amjad khazin,0.875,1.375
warmth,0.05,yong zhang,1.3125,1.4375
warmth,0.05,meredith miller,1.375,1.375
warmth,0.05,jamal,1.5,1.75
warmth,0.05,mack,1.375,1.625
warmth,0.05,jonathan,1.3125,1.4375
warmth,0.05,carrie,1.5,1.625
warmth,0.05,zachary,1.25,1.625
warmth,0.05,william novak,1.3125,1.3125
warmth,0.05,joshua,1.25,1.5
warmth,0.05,amber sullivan,1.3125,1.5625
warmth,0.05,sarah davis,1.5,1.625
warmth,0.05,adam,1.375,1.625
warmth,0.05,shreya sharma,1.375,1.5
warmth,0.05,donnell,1.5625,1.8125
warmth,0.05,patrice,1.375,1.375
warmth,0.05,sarah,1.375,1.375
warmth,0.05,lei li,1.375,1.5
warmth,0.05,janet,1.4375,1.5625
warmth,0.05,susan,1.4375,1.5625
warmth,0.05,lashonda,1.375,1.5
warmth,0.05,brad,1.1875,1.4375
warmth,0.05,michael smith,1.4375,1.5625
warmth,0.05,deborah,1.3125,1.5625
warmth,0.05,tara singh,1.375,1.5
warmth,0.05,courtney,1.375,1.5
warmth,0.05,carrie martin,1.4375,1.5625
warmth,0.05,mamuud irshad,1.25,1.75
warmth,0.05,ava,1.5,1.625
warmth,0.05,dziella lousaper,0.875,1.375
warmth,0.05,abdullah abukar,1.3125,1.4375
warmth,0.05,bill zhang,1.0625,1.4375
warmth,0.05,hina chaudhry,1.5,1.625
warmth,0.05,robert,1.125,1.5
warmth,0.05,joan,1.4375,1.5625
warmth,0.05,anne,1.375,1.5
warmth,0.05,jack li,1.25,1.5
warmth,0.05,darius jackson,1.25,1.375
warmth,0.05,latoya,1.1875,1.3125
warmth,0.05,thomas,1.375,1.5
warmth,0.05,amy wood,1.3125,1.5625
warmth,0.1,kenneth,3.8125,4.0625
warmth,0.1,ashley,4.125,4.125
warmth,0.1,lucas peterson,3.875,3.875
warmth,0.1,james yoder,3.6875,3.8125
warmth,0.1,amy wang,4.1875,4.4375
warmth,0.1,kevin,3.75,4.0
