axis,group,n,model_callback_margin,model_warmth,model_competence,human_warm,human_competent,human_callback,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
race,Black,47,-0.2128,37605.3419,40319.838,50.1008,49.9747,0.183,-0.4368659466388853,-0.4344207105163099,-0.30467253546572737,-0.5763895831864985
race,White,180,-0.1993,38362.8535,41133.7819,56.5573,59.6765,0.1712,0.44611461192367274,0.4439901148746439,0.20659165775379126,0.14563319285846038
gender,Female,154,-0.1648,38071.0534,40816.6874,56.1075,57.6966,0.1454,0.10598277065997287,0.10178072983971496,0.17097380998640374,-0.0017139895501044956
gender,Male,115,-0.2576,37949.4027,40692.7308,51.8794,58.6224,0.1815,-0.03581730611182175,-0.03199362404224287,-0.1638323753077107,0.06718546066144643
