layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
22,0.3729,False,1.0,0.0,1.0,0.0,8.719004,7.09076,0.486409,420.1562,1.0,0.0,1.0,0.0,0.97,0.04,0.95,0.031623,7.065298080444336,10.645721435546875,5.909148216247559,9.09095287322998,0.41799598932266235,0.5115699768066406
23,0.3898,False,1.0,0.0,1.0,0.0,9.041787,6.486497,0.510234,373.5836,1.0,0.0,1.0,0.0,0.99,0.02,0.95,0.031623,6.294532775878906,11.367341041564941,4.743577003479004,9.568527221679688,0.44615301489830017,0.5272629857063293
24,0.4068,False,1.0,0.0,1.0,0.0,11.494583,9.611301,0.507165,362.0255,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.13562297821045,13.451013565063477,7.941571235656738,11.33840274810791,0.4460139870643616,0.5248640179634094
25,0.4237,False,1.0,0.0,1.0,0.0,11.226922,7.866698,0.530018,341.9672,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.08,7.7878618240356445,13.632417678833008,6.743145942687988,9.784900665283203,0.4608840048313141,0.5498430132865906
26,0.4407,False,1.0,0.0,1.0,0.0,7.847203,6.160558,0.580533,308.8027,1.0,0.0,1.0,0.0,0.98,0.024495,0.91,0.066332,6.146234035491943,11.022431373596191,5.270633220672607,7.809132099151611,0.5106539726257324,0.6027470231056213
27,0.4576,False,1.0,0.0,1.0,0.0,6.229844,4.974745,0.622185,282.9712,0.99,0.02,0.99,0.02,0.91,0.037417,0.83,0.09798,5.035314083099365,8.896882057189941,4.265089988708496,6.590760231018066,0.5368109941482544,0.6473529934883118
28,0.4746,False,1.0,0.0,1.0,0.0,10.086084,7.134512,0.704582,262.5268,1.0,0.0,1.0,0.0,1.0,0.0,0.99,0.02,8.00302791595459,12.506733894348145,6.1691999435424805,9.032015800476074,0.6313700079917908,0.7175040245056152
29,0.4915,False,1.0,0.0,1.0,0.0,5.478484,6.029546,0.661361,262.1573,1.0,0.0,1.0,0.0,0.94,0.037417,0.94,0.04899,3.7756569385528564,7.977630138397217,4.017161846160889,8.956002235412598,0.5883349776268005,0.6710820198059082
30,0.5085,False,1.0,0.0,1.0,0.0,7.107747,7.367303,0.640849,280.2491,1.0,0.0,1.0,0.0,0.97,0.04,0.98,0.024495,5.033884048461914,9.153735160827637,4.611128807067871,9.62372875213623,0.5737040042877197,0.6513109803199768
31,0.5254,False,1.0,0.0,1.0,0.0,7.277999,6.51474,0.586525,306.3353,1.0,0.0,1.0,0.0,0.93,0.06,0.96,0.037417,5.280427932739258,9.399298667907715,4.275917053222656,9.166131019592285,0.5240830183029175,0.5984950065612793
32,0.5424,False,1.0,0.0,1.0,0.0,8.282912,8.459907,0.577814,316.7365,1.0,0.0,1.0,0.0,0.93,0.05099,0.99,0.02,5.490632057189941,10.371530532836914,5.070856094360352,9.874629020690918,0.5093650221824646,0.5906839966773987
33,0.5593,False,1.0,0.0,1.0,0.0,8.363625,8.821969,0.547366,320.8826,1.0,0.0,1.0,0.0,0.96,0.04899,0.99,0.02,5.666168212890625,9.900177001953125,4.895176887512207,10.050252914428711,0.4774799942970276,0.5565999746322632
34,0.5763,False,1.0,0.0,1.0,0.0,8.808335,6.970272,0.573398,310.8468,1.0,0.0,1.0,0.0,0.98,0.04,0.96,0.037417,5.987133979797363,11.060126304626465,4.619113922119141,10.240760803222656,0.5103499889373779,0.5845130085945129
35,0.5932,False,1.0,0.0,1.0,0.0,7.07317,4.875186,0.551763,294.6379,1.0,0.0,0.99,0.02,0.94,0.037417,0.89,0.04899,5.27975606918335,9.98920726776123,3.7911510467529297,7.3708062171936035,0.49150800704956055,0.5668910145759583
36,0.6102,False,1.0,0.0,1.0,0.0,5.945934,3.744562,0.590418,279.8726,0.99,0.02,0.97,0.04,0.92,0.024495,0.81,0.05831,4.868319988250732,8.223809242248535,3.1257901191711426,5.121723175048828,0.5249519944190979,0.6081569790840149
37,0.6271,False,1.0,0.0,1.0,0.0,6.126972,4.09561,0.594843,265.1201,1.0,0.0,0.97,0.04,0.95,0.031623,0.82,0.04,5.054872035980225,8.430706977844238,3.460568904876709,5.551878929138184,0.5262359976768494,0.61176997423172
