judgment_axis,steering_axis,direction_type,intervention,control_scale,endpoint_strength,endpoint_effect,slope,n_random_directions,endpoint_signed_percentile,endpoint_absolute_percentile,endpoint_random_median,endpoint_target_minus_random_median,slope_signed_percentile,slope_absolute_percentile,slope_random_median,slope_target_minus_random_median,paired_topic_difference,paired_topic_ci_low,paired_topic_ci_high
warmth,warmth,target,additive,sd_matched,0.1,1.8428466796875,14.886990356445311,99,0.87,0.81,0.3862060546875,1.456640625,0.92,0.82,-0.22763671875000044,15.114627075195312,1.545654296875,1.42231201171875,1.669923095703125
warmth,competence,cross_axis,additive,sd_matched,0.1,2.8853271484375,20.068603515624996,99,0.96,0.95,0.3862060546875,2.49912109375,0.95,0.89,-0.22763671875000044,20.296240234375,2.588134765625,2.460302734375,2.7225720214843747
competence,warmth,cross_axis,additive,sd_matched,0.1,1.7889404296875,14.858105468749999,99,0.87,0.81,0.22809944152832032,1.5608409881591796,0.92,0.82,-0.6642333984374998,15.522338867187498,1.579523468017578,1.4998779296875,1.6610180473327636
competence,competence,target,additive,sd_matched,0.1,2.6565093994140625,19.44119873046875,99,0.97,0.95,0.22809944152832032,2.428409957885742,0.96,0.89,-0.6642333984374998,20.105432128906248,2.4470924377441405,2.3604485130310056,2.5374713134765625
warmth,warmth,target,norm_preserving,sd_matched,0.1,1.8162841796875,14.708984374999998,99,0.85,0.79,0.3862060546875,1.430078125,0.91,0.81,-0.22763671875000044,14.936621093749999,1.519091796875,1.42328857421875,1.609578857421875
warmth,competence,cross_axis,norm_preserving,sd_matched,0.1,2.85751953125,19.7939453125,99,0.96,0.95,0.3862060546875,2.4713134765625,0.95,0.89,-0.22763671875000044,20.021582031250002,2.5603271484375,2.43154052734375,2.6898681640625
competence,warmth,cross_axis,norm_preserving,sd_matched,0.1,1.7871337890625,14.713110351562499,99,0.87,0.81,0.22809944152832032,1.5590343475341797,0.92,0.82,-0.6642333984374998,15.377343749999998,1.5777168273925781,1.506102294921875,1.6446743965148922
competence,competence,target,norm_preserving,sd_matched,0.1,2.625558853149414,19.306532287597655,99,0.97,0.95,0.22809944152832032,2.3974594116210937,0.96,0.89,-0.6642333984374998,19.970765686035154,2.416141891479492,2.3092306327819827,2.5158707237243654
