mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.1,14.171875,-2.671875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.1,16.046875,-2.5859375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.1,-21.65625,0.4375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.1,-21.4375,0.625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.1,-22.1875,0.15625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.1,-18.71875,0.90625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.1,-21.9375,0.65625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.1,-22.625,0.15625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.1,-22.875,-0.0625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.1,-22.28125,0.5625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,-0.1,-21.75,0.34375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,-0.1,-21.71875,0.84375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-9.781890869140625,-2.8581745158075282,0.017843227833509445,False
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.05,16.4609375,-1.33984375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010298052802681923,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.05,16.671875,-1.08984375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.05,16.796875,-1.4658203125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.05,17.755859375,-0.962890625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
