mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_003,-0.1,0.0,-0.0625,0.078125,8,norm_preserving,sd_matched,0.18438917850859632,-0.3176034463436307,-1.722462505188849,0.00011760761117329821
steering,competence,random_003,-0.05,0.046875,-0.03125,0.140625,8,additive,sd_matched,0.18438917850859632,-0.15880172317181535,-0.8612312525944245,4.904873640043661e-05
steering,competence,random_003,-0.05,0.046875,-0.03125,0.140625,8,norm_preserving,sd_matched,0.18438917850859632,-0.15880172317181535,-0.8612312525944245,4.904873640043661e-05
steering,competence,random_003,0.0,0.0,0.0,0.0,8,additive,sd_matched,0.18438917850859632,0.0,0.0,0.0
steering,competence,random_003,0.0,0.0,0.0,0.0,8,norm_preserving,sd_matched,0.18438917850859632,0.0,0.0,0.0
steering,competence,random_003,0.05,0.015625,-0.0625,0.09375,8,additive,sd_matched,0.18438917850859632,0.15880172317181535,0.8612312525944245,5.307856190484017e-05
steering,competence,random_003,0.05,0.015625,-0.0625,0.09375,8,norm_preserving,sd_matched,0.18438917850859632,0.15880172317181535,0.8612312525944245,5.307856190484017e-05
steering,competence,random_003,0.1,0.0,0.0,0.0,8,additive,sd_matched,0.18438917850859632,0.3176034463436307,1.722462505188849,0.000135413181851618
steering,competence,random_003,0.1,0.0,0.0,0.0,8,norm_preserving,sd_matched,0.18438917850859632,0.3176034463436307,1.722462505188849,0.000135413181851618
steering,competence,random_004,-0.1,0.015625,-0.078125,0.0625,8,additive,sd_matched,0.19984000093258544,-0.344216908643283,-1.722462505188849,0.00014541913697030395
steering,competence,random_004,-0.1,0.015625,-0.078125,0.0625,8,norm_preserving,sd_matched,0.19984000093258544,-0.344216908643283,-1.722462505188849,0.00014541913697030395
steering,competence,random_004,-0.05,0.03125,0.0,0.09375,8,additive,sd_matched,0.19984000093258544,-0.1721084543216415,-0.8612312525944245,5.409888763097115e-05
steering,competence,random_004,-0.05,0.03125,0.0,0.09375,8,norm_preserving,sd_matched,0.19984000093258544,-0.1721084543216415,-0.8612312525944245,5.409888763097115e-05
steering,competence,random_004,0.0,0.0,0.0,0.0,8,additive,sd_matched,0.19984000093258544,0.0,0.0,0.0
steering,competence,random_004,0.0,0.0,0.0,0.0,8,norm_preserving,sd_matched,0.19984000093258544,0.0,0.0,0.0
steering,competence,random_004,0.05,0.046875,0.0,0.09375,8,additive,sd_matched,0.19984000093258544,0.1721084543216415,0.8612312525944245,5.451423567137681e-05
steering,competence,random_004,0.05,0.046875,0.0,0.09375,8,norm_preserving,sd_matched,0.19984000093258544,0.1721084543216415,0.8612312525944245,5.451423567137681e-05
steering,competence,random_004,0.1,0.015625,-0.046875,0.09375,8,additive,sd_matched,0.19984000093258544,0.344216908643283,1.722462505188849,0.00011835586337838322
steering,competence,random_004,0.1,0.015625,-0.046875,0.09375,8,norm_preserving,sd_matched,0.19984000093258544,0.344216908643283,1.722462505188849,0.00011835586337838322
steering,competence,random_005,-0.1,0.015625,-0.046875,0.09375,8,additive,sd_matched,0.2625417961456088,-0.4522183999057454,-1.722462505188849,0.00025480013573542237
steering,competence,random_005,-0.1,0.015625,-0.046875,0.09375,8,norm_preserving,sd_matched,0.2625417961456088,-0.4522183999057454,-1.722462505188849,0.00025480013573542237
steering,competence,random_005,-0.05,0.046875,0.0,0.09375,8,additive,sd_matched,0.2625417961456088,-0.2261091999528727,-0.8612312525944245,0.00010843892232514918
steering,competence,random_005,-0.05,0.046875,0.0,0.09375,8,norm_preserving,sd_matched,0.2625417961456088,-0.2261091999528727,-0.8612312525944245,0.00010843892232514918
steering,competence,random_005,0.0,0.0,0.0,0.0,8,additive,sd_matched,0.2625417961456088,0.0,0.0,0.0
steering,competence,random_005,0.0,0.0,0.0,0.0,8,norm_preserving,sd_matched,0.2625417961456088,0.0,0.0,0.0
steering,competence,random_005,0.05,0.0625,-0.015625,0.125,8,additive,sd_matched,0.2625417961456088,0.2261091999528727,0.8612312525944245,0.00010342176392441615
