vector,n_matches,observed_mean,observed_median,null_mean,null_mean_ci_low,null_mean_ci_high,null_median,permutation_p_mean,n_permutations,seed
warmth,135,0.64355945332675,0.663398792051995,0.35422301184196414,0.32368139335537865,0.38651078661127314,0.3157378136230535,0.001996007984031936,500,20260527
competence,192,0.6550018053438724,0.6935311308229731,0.40275232311438064,0.36502833824515984,0.43891029076417565,0.361527785910151,0.001996007984031936,500,20260527
shared,56,0.4902310694835704,0.4283618561738195,0.25236693084222034,0.22748134150118177,0.27612505077459387,0.23199405356927486,0.001996007984031936,500,20260527
warmth_specific,107,0.6317923887166188,0.6636778539009475,0.3270717981315368,0.29217650574480963,0.3646954992469012,0.29281215881016875,0.001996007984031936,500,20260527
competence_specific,164,0.6308219956432385,0.6795292395684591,0.3777194539145088,0.33608107355928035,0.42236696058828177,0.3475266466397646,0.001996007984031936,500,20260527
