axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.2087765957446808,-1.2211879432624113,-1.1963652482269505,282,5000
warmth,-0.05,-0.6449468085106383,-0.6551418439716312,-0.6347517730496454,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.6320921985815603,0.6214539007092199,0.6422872340425532,282,5000
warmth,0.1,1.1932624113475176,1.1804078014184398,1.2052304964539007,282,5000
competence,-0.1,-0.9326241134751773,-0.9437056737588653,-0.9215425531914894,282,5000
competence,-0.05,-0.4379432624113475,-0.44769503546099293,-0.42819148936170215,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,0.337322695035461,0.3271276595744681,0.3479609929078014,282,5000
competence,0.1,0.5186170212765957,0.5066489361702128,0.5305851063829787,282,5000
