axis,strength,name,margin,delta
warmth,-0.1,aaliyah jackson,21.875,-0.0625
warmth,-0.1,aasha waabberi,21.25,-0.4375
warmth,-0.1,abd al-hakiim amar,21.3125,-0.0625
warmth,-0.1,abdullah abukar,20.875,-0.3125
warmth,-0.1,abigail,21.125,-0.5
warmth,-0.1,abigale,21.75,0.0625
warmth,-0.1,abu amjad khazin,20.875,-0.375
warmth,-0.1,adam,20.3125,-0.1875
warmth,-0.1,aferdita dzaghig,22.0,0.0625
warmth,-0.1,afredita dzaghig,20.875,-0.375
warmth,-0.1,aisha,21.3125,-0.1875
warmth,-0.1,al-malik khalil,21.5625,-0.125
warmth,-0.1,alexander,20.875,-0.25
warmth,-0.1,alexis,21.1875,-0.3125
warmth,-0.1,ali saeed,21.375,-0.25
warmth,-0.1,alison johnson,21.5,-0.3125
warmth,-0.1,allen wang,20.9375,-0.25
warmth,-0.1,allison,21.375,-0.125
warmth,-0.1,amanda,21.5,0.0625
warmth,-0.1,amber,21.0,-0.3125
warmth,-0.1,amber sullivan,21.4375,-0.3125
warmth,-0.1,amy,20.875,-0.375
warmth,-0.1,amy rasmussen,20.8125,-0.5625
warmth,-0.1,amy wang,21.4375,-0.375
warmth,-0.1,amy wood,20.875,-0.5
warmth,-0.1,andre robinson,20.875,-0.1875
warmth,-0.1,andrew,20.625,-0.0625
warmth,-0.1,angela,21.3125,-0.125
warmth,-0.1,anne,21.0,-0.125
warmth,-0.1,anthony,20.6875,-0.0625
warmth,-0.1,antwan,21.125,-0.125
warmth,-0.1,arjun kumar,20.8125,-0.3125
warmth,-0.1,ashley,20.5,-0.875
warmth,-0.1,asif sheikh,20.9375,-0.4375
warmth,-0.1,austin,21.1875,0.25
warmth,-0.1,ava,21.25,-0.25
warmth,-0.1,babara,19.875,-0.5
warmth,-0.1,barbara,20.8125,-0.0625
warmth,-0.1,bill zhang,20.875,-0.375
warmth,-0.1,brad,20.3125,-0.6875
warmth,-0.1,bradley,20.5625,-0.9375
warmth,-0.1,brandom,20.375,-0.1875
warmth,-0.1,brandon,20.875,0.125
warmth,-0.1,brenda,21.125,0.125
warmth,-0.1,brendan,20.9375,0.0
warmth,-0.1,brett,20.375,-0.8125
warmth,-0.1,brianna,21.0,-0.4375
warmth,-0.1,carol,21.0,0.25
