mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,competence,-0.1,-1.302734375,-1.384375,-1.201552734375,20,additive,sd_matched,3.768838469720317,-9.781890869140625,-2.5954656713813824,0.024215087294578552,competence,competence,target,,raw
steering,competence,competence,-0.1,-1.280859375,-1.408994140625,-1.15623046875,20,norm_preserving,sd_matched,3.768838469720317,-9.781890869140625,-2.5954656713813824,0.005608558654785156,competence,competence,target,,raw
steering,competence,competence,-0.05,-0.871484375,-0.942587890625,-0.801552734375,20,additive,sd_matched,3.768838469720317,-4.8909454345703125,-1.2977328356906912,0.01381736621260643,competence,competence,target,,raw
steering,competence,competence,-0.05,-0.85703125,-0.9527734375,-0.772255859375,20,norm_preserving,sd_matched,3.768838469720317,-4.8909454345703125,-1.2977328356906912,0.005445615854114294,competence,competence,target,,raw
steering,competence,competence,0.0,0.0,0.0,0.0,20,additive,sd_matched,3.768838469720317,0.0,0.0,0.0,competence,competence,target,,raw
steering,competence,competence,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,3.768838469720317,0.0,0.0,0.0,competence,competence,target,,raw
steering,competence,competence,0.05,1.029296875,0.938134765625,1.1147607421874999,20,additive,sd_matched,3.768838469720317,4.8909454345703125,1.2977328356906912,0.017414961010217667,competence,competence,target,,raw
steering,competence,competence,0.05,1.1243408203125,1.0349682617187501,1.2246337890625,20,norm_preserving,sd_matched,3.768838469720317,4.8909454345703125,1.2977328356906912,0.003983831033110619,competence,competence,target,,raw
steering,competence,competence,0.1,2.581201171875,2.463902587890625,2.70435302734375,20,additive,sd_matched,3.768838469720317,9.781890869140625,2.5954656713813824,0.03830530494451523,competence,competence,target,,raw
steering,competence,competence,0.1,2.58494873046875,2.4917892456054687,2.68178955078125,20,norm_preserving,sd_matched,3.768838469720317,9.781890869140625,2.5954656713813824,0.004128103144466877,competence,competence,target,,raw
steering,competence,random_000,-0.1,1.249609375,1.14607421875,1.356650390625,20,additive,sd_matched,0.20940930194400065,-0.5435146544635923,-2.5954656713813824,0.0001729330251691863,competence,,random,000,raw
steering,competence,random_000,-0.1,1.249609375,1.14607421875,1.356650390625,20,norm_preserving,sd_matched,0.20940930194400065,-0.5435146544635923,-2.5954656713813824,0.0001729330251691863,competence,,random,000,raw
steering,competence,random_000,-0.05,0.4345703125,0.35205078125,0.513876953125,20,additive,sd_matched,0.20940930194400065,-0.27175732723179613,-1.2977328356906912,0.00010649923933669925,competence,,random,000,raw
steering,competence,random_000,-0.05,0.4345703125,0.35205078125,0.513876953125,20,norm_preserving,sd_matched,0.20940930194400065,-0.27175732723179613,-1.2977328356906912,0.00010649923933669925,competence,,random,000,raw
steering,competence,random_000,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.20940930194400065,0.0,0.0,0.0,competence,,random,000,raw
steering,competence,random_000,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.20940930194400065,0.0,0.0,0.0,competence,,random,000,raw
steering,competence,random_000,0.05,-0.126953125,-0.1814453125,-0.076953125,20,additive,sd_matched,0.20940930194400065,0.27175732723179613,1.2977328356906912,0.00011937277304241434,competence,,random,000,raw
steering,competence,random_000,0.05,-0.126953125,-0.1814453125,-0.076953125,20,norm_preserving,sd_matched,0.20940930194400065,0.27175732723179613,1.2977328356906912,0.00011937277304241434,competence,,random,000,raw
steering,competence,random_000,0.1,-0.19111328125,-0.30275024414062496,-0.082762451171875,20,additive,sd_matched,0.20940930194400065,0.5435146544635923,2.5954656713813824,0.000234415361774154,competence,,random,000,raw
steering,competence,random_000,0.1,-0.19111328125,-0.30275024414062496,-0.082762451171875,20,norm_preserving,sd_matched,0.20940930194400065,0.5435146544635923,2.5954656713813824,0.000234415361774154,competence,,random,000,raw
steering,competence,random_001,-0.1,0.251953125,0.12849609375000004,0.3793066406249999,20,additive,sd_matched,0.2628143150415446,-0.6821255326379407,-2.5954656713813824,0.0001780986349331215,competence,,random,001,raw
steering,competence,random_001,-0.1,0.251953125,0.12849609375000004,0.3793066406249999,20,norm_preserving,sd_matched,0.2628143150415446,-0.6821255326379407,-2.5954656713813824,0.0001780986349331215,competence,,random,001,raw
steering,competence,random_001,-0.05,-0.036474609375,-0.09867492675781242,0.0372564697265625,20,additive,sd_matched,0.2628143150415446,-0.34106276631897037,-1.2977328356906912,0.00011398929200368002,competence,,random,001,raw
steering,competence,random_001,-0.05,-0.036474609375,-0.09867492675781242,0.0372564697265625,20,norm_preserving,sd_matched,0.2628143150415446,-0.34106276631897037,-1.2977328356906912,0.00011398929200368002,competence,,random,001,raw
steering,competence,random_001,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2628143150415446,0.0,0.0,0.0,competence,,random,001,raw
steering,competence,random_001,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2628143150415446,0.0,0.0,0.0,competence,,random,001,raw
steering,competence,random_001,0.05,0.2875,0.21327148437500001,0.364453125,20,additive,sd_matched,0.2628143150415446,0.34106276631897037,1.2977328356906912,0.00014114074292592704,competence,,random,001,raw
steering,competence,random_001,0.05,0.2875,0.21327148437500001,0.364453125,20,norm_preserving,sd_matched,0.2628143150415446,0.34106276631897037,1.2977328356906912,0.00014114074292592704,competence,,random,001,raw
steering,competence,random_001,0.1,0.8462890625,0.775380859375,0.9201171875,20,additive,sd_matched,0.2628143150415446,0.6821255326379407,2.5954656713813824,0.00022493235883302987,competence,,random,001,raw
steering,competence,random_001,0.1,0.8462890625,0.775380859375,0.9201171875,20,norm_preserving,sd_matched,0.2628143150415446,0.6821255326379407,2.5954656713813824,0.00022493235883302987,competence,,random,001,raw
steering,competence,random_002,-0.1,1.996484375,1.8198828125,2.19142578125,20,additive,sd_matched,0.26361826361249047,-0.6842121535553868,-2.5954656713813824,0.00020067983132321388,competence,,random,002,raw
steering,competence,random_002,-0.1,1.996484375,1.8198828125,2.19142578125,20,norm_preserving,sd_matched,0.26361826361249047,-0.6842121535553868,-2.5954656713813824,0.00020067983132321388,competence,,random,002,raw
steering,competence,random_002,-0.05,1.210321044921875,1.1186842346191406,1.3025260925292967,20,additive,sd_matched,0.26361826361249047,-0.3421060767776934,-1.2977328356906912,0.00012168045213911682,competence,,random,002,raw
steering,competence,random_002,-0.05,1.210321044921875,1.1186842346191406,1.3025260925292967,20,norm_preserving,sd_matched,0.26361826361249047,-0.3421060767776934,-1.2977328356906912,0.00012168045213911682,competence,,random,002,raw
steering,competence,random_002,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.26361826361249047,0.0,0.0,0.0,competence,,random,002,raw
steering,competence,random_002,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.26361826361249047,0.0,0.0,0.0,competence,,random,002,raw
steering,competence,random_002,0.05,-1.547265625,-1.601181640625,-1.49021484375,20,additive,sd_matched,0.26361826361249047,0.3421060767776934,1.2977328356906912,0.00011059064854634926,competence,,random,002,raw
steering,competence,random_002,0.05,-1.547265625,-1.601181640625,-1.49021484375,20,norm_preserving,sd_matched,0.26361826361249047,0.3421060767776934,1.2977328356906912,0.00011059064854634926,competence,,random,002,raw
steering,competence,random_002,0.1,-3.191796875,-3.2875390625,-3.1,20,additive,sd_matched,0.26361826361249047,0.6842121535553868,2.5954656713813824,0.0003045520279556513,competence,,random,002,raw
steering,competence,random_002,0.1,-3.191796875,-3.2875390625,-3.1,20,norm_preserving,sd_matched,0.26361826361249047,0.6842121535553868,2.5954656713813824,0.0003045520279556513,competence,,random,002,raw
steering,competence,random_003,-0.1,0.395703125,0.339833984375,0.45705078124999987,20,additive,sd_matched,0.24419970247137518,-0.6338119447260017,-2.595465671381383,0.00024099054280668497,competence,,random,003,raw
steering,competence,random_003,-0.1,0.395703125,0.339833984375,0.45705078124999987,20,norm_preserving,sd_matched,0.24419970247137518,-0.6338119447260017,-2.595465671381383,0.00024099054280668497,competence,,random,003,raw
steering,competence,random_003,-0.05,0.18909530639648436,0.14974365234375,0.23102344512939452,20,additive,sd_matched,0.24419970247137518,-0.31690597236300083,-1.2977328356906914,9.421334834769368e-05,competence,,random,003,raw
steering,competence,random_003,-0.05,0.18909530639648436,0.14974365234375,0.23102344512939452,20,norm_preserving,sd_matched,0.24419970247137518,-0.31690597236300083,-1.2977328356906914,9.421334834769368e-05,competence,,random,003,raw
steering,competence,random_003,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.24419970247137518,0.0,0.0,0.0,competence,,random,003,raw
steering,competence,random_003,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.24419970247137518,0.0,0.0,0.0,competence,,random,003,raw
steering,competence,random_003,0.05,-0.28447265625,-0.3752099609375,-0.1931640625,20,additive,sd_matched,0.24419970247137518,0.31690597236300083,1.2977328356906914,0.00012130851246183738,competence,,random,003,raw
steering,competence,random_003,0.05,-0.28447265625,-0.3752099609375,-0.1931640625,20,norm_preserving,sd_matched,0.24419970247137518,0.31690597236300083,1.2977328356906914,0.00012130851246183738,competence,,random,003,raw
steering,competence,random_003,0.1,-0.1807373046875,-0.3280059814453125,-0.031559448242187677,20,additive,sd_matched,0.24419970247137518,0.6338119447260017,2.595465671381383,0.00018619972979649901,competence,,random,003,raw
steering,competence,random_003,0.1,-0.1807373046875,-0.3280059814453125,-0.031559448242187677,20,norm_preserving,sd_matched,0.24419970247137518,0.6338119447260017,2.595465671381383,0.00018619972979649901,competence,,random,003,raw
steering,competence,random_004,-0.1,-0.61494140625,-0.7158276367187499,-0.5016748046875001,20,additive,sd_matched,0.17684217541811037,-0.45898779555011004,-2.5954656713813824,0.00015598120808135718,competence,,random,004,raw
steering,competence,random_004,-0.1,-0.61494140625,-0.7158276367187499,-0.5016748046875001,20,norm_preserving,sd_matched,0.17684217541811037,-0.45898779555011004,-2.5954656713813824,0.00015598120808135718,competence,,random,004,raw
steering,competence,random_004,-0.05,-0.4068359375,-0.4685693359375,-0.3472558593750001,20,additive,sd_matched,0.17684217541811037,-0.22949389777505502,-1.2977328356906912,8.983261795947328e-05,competence,,random,004,raw
steering,competence,random_004,-0.05,-0.4068359375,-0.4685693359375,-0.3472558593750001,20,norm_preserving,sd_matched,0.17684217541811037,-0.22949389777505502,-1.2977328356906912,8.983261795947328e-05,competence,,random,004,raw
