mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,0.5,16.25,8.25
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,0.5,16.125,8.0
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,0.5,16.5,8.625
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,0.5,16.375,8.375
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,0.5,16.5,8.375
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,0.5,16.5,8.25
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,0.5,17.0,9.625
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,0.5,17.0,9.0
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,0.5,6.25,14.125
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,0.5,5.625,14.375
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,0.5,7.25,14.625
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,0.5,6.25,14.375
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,0.5,6.0,13.75
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,0.5,5.25,13.375
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,0.5,6.125,14.125
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,0.5,6.5,14.375
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,0.5,6.625,14.5
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,0.5,6.5,14.875
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,sae_reconstructed,-0.5,1.9375,-6.5625
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,sae_reconstructed,-0.5,2.625,-5.0
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,sae_reconstructed,-0.5,1.6875,-6.3125
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,sae_reconstructed,-0.5,1.6875,-6.4375
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,sae_reconstructed,-0.5,1.875,-6.0
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,sae_reconstructed,-0.5,2.3125,-5.6875
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,sae_reconstructed,-0.5,2.375,-5.75
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,sae_reconstructed,-0.5,1.5625,-6.6875
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,sae_reconstructed,-0.5,2.3125,-5.0625
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,sae_reconstructed,-0.5,2.1875,-5.8125
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,sae_reconstructed,-0.5,-3.8125,4.0625
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,sae_reconstructed,-0.5,-4.375,4.375
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,sae_reconstructed,-0.5,-4.25,3.125
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,sae_reconstructed,-0.5,-3.5,4.625
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,sae_reconstructed,-0.5,-4.0625,3.6875
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,sae_reconstructed,-0.5,-4.375,3.75
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,sae_reconstructed,-0.5,-3.6875,4.3125
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,sae_reconstructed,-0.5,-3.3125,4.5625
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,sae_reconstructed,-0.5,-4.5625,3.3125
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,sae_reconstructed,-0.5,-3.875,4.5
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,sae_reconstructed,-0.25,5.625,-2.875
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,sae_reconstructed,-0.25,5.0,-2.625
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,sae_reconstructed,-0.25,4.875,-3.125
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,sae_reconstructed,-0.25,4.75,-3.375
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,sae_reconstructed,-0.25,4.875,-3.0
