mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,0.05,-12.375,0.875
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,0.05,-13.75,1.375
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,0.05,-13.5,0.875
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,0.05,-13.375,1.1875
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,0.05,-14.0,1.125
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,0.05,-13.125,1.0
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,0.05,-13.75,0.9375
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,0.05,-12.625,1.25
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,0.05,-14.375,1.125
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,0.05,-13.875,0.625
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,0.1,10.875,-0.25
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,0.1,12.0,0.5
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,0.1,12.125,0.5
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,0.1,12.5,1.375
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,0.1,11.25,0.375
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,0.1,12.5,1.0
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,0.1,12.875,1.0
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,0.1,11.375,-0.625
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,0.1,10.875,-0.375
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,0.1,11.625,0.375
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,0.1,-12.5,0.75
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,0.1,-12.625,2.5
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,0.1,-12.125,2.25
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,0.1,-13.5,1.0625
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,0.1,-12.625,2.5
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,0.1,-12.75,1.375
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,0.1,-13.0,1.6875
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,0.1,-11.75,2.125
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,0.1,-14.125,1.375
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,0.1,-13.5,1.0
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,sae_reconstructed,-0.1,11.625,0.5
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,sae_reconstructed,-0.1,11.25,-0.25
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,sae_reconstructed,-0.1,12.5,0.875
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,sae_reconstructed,-0.1,12.25,1.125
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,sae_reconstructed,-0.1,11.75,0.875
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,sae_reconstructed,-0.1,12.0,0.5
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,sae_reconstructed,-0.1,11.875,0.0
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,sae_reconstructed,-0.1,12.0,0.0
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,sae_reconstructed,-0.1,11.625,0.375
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,sae_reconstructed,-0.1,11.75,0.5
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,sae_reconstructed,-0.1,-13.625,-0.375
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,sae_reconstructed,-0.1,-14.875,0.25
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,sae_reconstructed,-0.1,-16.75,-2.375
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,sae_reconstructed,-0.1,-15.25,-0.6875
