axis,group,n,model_callback_margin,model_warmth,model_competence,human_warm,human_competent,human_callback,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
race,Black,47,25.8078,45.3112,78.1475,50.1008,49.9747,0.183,-0.11792591148946434,-0.18600111179977707,-0.30467253546572737,-0.5763895831864985
race,White,180,25.5771,45.5153,78.7733,56.5573,59.6765,0.1712,0.29791353593859154,0.36479309611610217,0.20659165775379126,0.14563319285846038
gender,Female,154,25.7877,45.3386,78.4018,56.1075,57.6966,0.1454,-0.0621003315799663,0.03781954507623072,0.17097380998640374,-0.0017139895501044956
gender,Male,115,25.4082,45.4312,78.3795,51.8794,58.6224,0.1815,0.1265656793550466,0.018192330572356332,-0.1638323753077107,0.06718546066144643
