alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-3.4218379974365236,warmth,high_warmth,sd_matched,False,0.125,warmth,3.2506901293408137,target,additive,warmth,1,22.0625,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t066_s00140,-0.05,66,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.25,warmth,3.2506901293408137,target,additive,warmth,1,21.6875,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t078_s00164,-0.05,78,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.1875,warmth,3.2506901293408137,target,additive,warmth,1,21.625,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t079_s00168,-0.05,79,raw
-3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,1,22.0,0.005796486046165228,steering,,-1.0526497024588486,warmth,high_warmth_t097_s00196,-0.05,97,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,0,-23.0625,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t019_s00005,-0.05,19,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.0625,warmth,3.2506901293408137,target,additive,warmth,0,-22.5625,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t003_s00029,-0.05,3,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,0,-23.0625,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t008_s00049,-0.05,8,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.5625,warmth,3.2506901293408137,target,additive,warmth,0,-21.0,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t035_s00093,-0.05,35,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,0,-23.3125,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t056_s00129,-0.05,56,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.25,warmth,3.2506901293408137,target,additive,warmth,0,-22.9375,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t057_s00133,-0.05,57,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,0.0625,warmth,3.2506901293408137,target,additive,warmth,0,-22.875,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t066_s00141,-0.05,66,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.4375,warmth,3.2506901293408137,target,additive,warmth,0,-22.4375,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t078_s00165,-0.05,78,raw
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,0,-23.25,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t079_s00169,-0.05,79,raw
