axis,group,n,model_callback_margin,model_warmth,model_competence,human_warm,human_competent,human_callback,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
race,Black,47,17.1936,12.2203,18.4581,50.1008,49.9747,0.183,-0.3442885733411415,-0.3971329169394753,-0.30467253546572737,-0.5763895831864985
race,White,180,17.1721,12.2878,18.9619,56.5573,59.6765,0.1712,0.24025518734274748,0.43565148879781534,0.20659165775379126,0.14563319285846038
gender,Female,154,17.2083,12.2301,18.7043,56.1075,57.6966,0.1454,-0.25942147919740527,0.009837151922216205,0.17097380998640374,-0.0017139895501044956
gender,Male,115,17.1751,12.3049,18.7423,51.8794,58.6224,0.1815,0.38833960671599094,0.07265137863523202,-0.1638323753077107,0.06718546066144643
