race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,1.8055555555555556,0.05555555555555555,-8.388816356658936,17.608375125461155,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,qwen3_14b,0.4340285765061125,-0.043055570282845956,0.5547965849701063,0.25839561087331686
Black,Female,kline,1.8223684210526316,0.029175733981688746,-8.274214267730713,17.543442977102178,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,qwen3_14b,0.5708151337699662,-0.14531244872490123,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,1.6666666666666667,0.06909634979907082,-8.566372606489393,17.107449425591362,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,qwen3_14b,0.2221013039570004,-0.831926718006159,0.08051725761435544,0.21906624729743523
Black,Male,kline,1.5986842105263157,0.04542174380966662,-8.759856951864142,17.07186764164975,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,qwen3_14b,-0.00883739651327224,-0.8879618600309325,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,1.8472222222222223,0.06839484584580628,-9.107109281751844,17.92393027411567,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,qwen3_14b,-0.42331021416793607,0.4538890910786955,0.5230674011307682,0.5082300209525706
White,Female,farber,1.9166666666666667,0.060249900456768424,-9.211938540140787,17.724050839742024,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,qwen3_14b,-0.5484321337563945,0.13911362868654734,0.3530355448134064,0.20741546431805133
White,Female,kline,1.8289473684210527,0.04402381556992266,-9.125908299496299,17.813860240735504,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,qwen3_14b,-0.4457483122973389,0.28054786784913427,0.8617911647831445,0.2622130299379943
White,Female,neumark,1.8360389610389611,0.02325365670358806,-9.072243102185137,17.710686572186358,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,qwen3_14b,-0.38169470163691865,0.11806722382478863,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,1.5138888888888888,0.06402461428675617,-9.468347443474663,17.58791775173611,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,qwen3_14b,-0.8544762160837956,-0.07527238785494342,-0.3093082275622903,0.12177266305458478
White,Male,kline,1.5263157894736843,0.04120239962292968,-9.483717918395996,17.678446117200348,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,qwen3_14b,-0.8728220801746012,0.06729409572506004,0.45380831837716396,0.4899383014158095
White,Male,neumark,1.4083333333333334,0.09140803735410412,-9.426642036437988,17.501921081542967,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,qwen3_14b,-0.8046975506058266,-0.21070223689898765,-0.08477486596304186,-0.18021044013496992
