axis,model_a,model_b,n_stories,n_per_condition,overall_rho,within_condition_rho,high_warmth_rho,low_warmth_rho,high_competence_rho,low_competence_rho
competence,Gemma-3-27B,Gemma-4-26B-A4B,200,50,0.822765,0.257767,0.26377,0.206435,0.319376,0.241489
competence,Gemma-3-27B,Gemma-4-31B,200,50,0.819214,0.310516,0.457575,0.310828,0.259064,0.214598
competence,Gemma-3-27B,Llama-3.1-8B,200,50,0.834172,0.303505,0.394574,0.274718,0.430588,0.114142
competence,Gemma-3-27B,Qwen3-14B,200,50,0.836407,0.31419,0.406387,0.29988,0.396303,0.15419
competence,Gemma-3-27B,Qwen3.6-27B,200,50,0.828583,0.261969,0.459304,0.20048,0.25964,0.128451
competence,Gemma-3-27B,Qwen3.6-35B-A3B,200,50,0.800126,0.20389,0.369412,0.167923,0.31928,-0.041056
competence,Gemma-4-12B,Gemma-4-26B-A4B,200,50,0.959845,0.618031,0.563601,0.55928,0.728691,0.620552
competence,Gemma-4-12B,Gemma-4-31B,200,50,0.952233,0.64461,0.754238,0.532581,0.67952,0.612101
competence,Gemma-4-12B,Llama-3.1-8B,200,50,0.964166,0.589988,0.577239,0.694118,0.608547,0.480048
competence,Gemma-4-12B,Qwen3-14B,200,50,0.970055,0.645786,0.678655,0.646194,0.70545,0.552845
competence,Gemma-4-12B,Qwen3.6-27B,200,50,0.964875,0.621224,0.621609,0.68605,0.637071,0.540168
competence,Gemma-4-12B,Qwen3.6-35B-A3B,200,50,0.935248,0.47587,0.486675,0.453926,0.534118,0.428764
competence,Gemma-4-26B-A4B,Gemma-4-31B,200,50,0.946563,0.619112,0.583866,0.532101,0.685954,0.674526
competence,Gemma-4-26B-A4B,Llama-3.1-8B,200,50,0.974139,0.750612,0.793229,0.77527,0.769892,0.664058
competence,Gemma-4-26B-A4B,Qwen3-14B,200,50,0.979587,0.802401,0.823673,0.854214,0.838463,0.693253
competence,Gemma-4-26B-A4B,Qwen3.6-27B,200,50,0.972137,0.726795,0.779688,0.619208,0.73551,0.772773
competence,Gemma-4-26B-A4B,Qwen3.6-35B-A3B,200,50,0.944923,0.531981,0.481969,0.481969,0.655798,0.508187
competence,Gemma-4-31B,Llama-3.1-8B,200,50,0.943299,0.577311,0.58886,0.607779,0.52461,0.587995
competence,Gemma-4-31B,Qwen3-14B,200,50,0.952141,0.662785,0.723121,0.57916,0.645714,0.703145
competence,Gemma-4-31B,Qwen3.6-27B,200,50,0.9517,0.632509,0.706218,0.500888,0.587611,0.735318
competence,Gemma-4-31B,Qwen3.6-35B-A3B,200,50,0.928273,0.514814,0.558415,0.301032,0.597407,0.602401
competence,Llama-3.1-8B,Qwen3-14B,200,50,0.992206,0.898583,0.917407,0.879664,0.915582,0.881681
competence,Llama-3.1-8B,Qwen3.6-27B,200,50,0.978896,0.756759,0.826843,0.745114,0.763745,0.691333
competence,Llama-3.1-8B,Qwen3.6-35B-A3B,200,50,0.943092,0.513301,0.577719,0.513085,0.525378,0.437023
competence,Qwen3-14B,Qwen3.6-27B,200,50,0.981212,0.783265,0.820792,0.737623,0.815318,0.759328
competence,Qwen3-14B,Qwen3.6-35B-A3B,200,50,0.951996,0.584082,0.591453,0.588571,0.607011,0.549292
competence,Qwen3.6-27B,Qwen3.6-35B-A3B,200,50,0.957067,0.62982,0.665594,0.635342,0.476014,0.742329
