mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_039,0.05,-1.015625,19.984375,competence,,random,039,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_039,0.05,-3.609375,18.578125,competence,,random,039,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_039,0.05,-1.76171875,19.86328125,competence,,random,039,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_039,0.05,-1.9140625,19.5546875,competence,,random,039,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_039,0.05,-0.921875,19.828125,competence,,random,039,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_039,0.05,-1.8984375,19.7890625,competence,,random,039,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_039,0.05,1.125,22.75,competence,,random,039,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_039,0.1,-3.03125,-24.53125,competence,,random,039,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_039,0.1,-4.15625,-25.59375,competence,,random,039,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_039,0.1,-3.34375,-23.96875,competence,,random,039,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_039,0.1,-3.46875,-24.46875,competence,,random,039,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_039,0.1,-3.75,-24.25,competence,,random,039,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_039,0.1,-2.96875,-24.65625,competence,,random,039,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_039,0.1,-3.03125,-23.84375,competence,,random,039,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_039,0.1,-3.5625,-24.75,competence,,random,039,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_039,0.1,-4.0625,-25.5,competence,,random,039,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_039,0.1,-3.84375,-23.90625,competence,,random,039,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_039,0.1,-5.53125,17.59375,competence,,random,039,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_039,0.1,-6.09375,15.90625,competence,,random,039,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_039,0.1,-5.875,16.8125,competence,,random,039,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_039,0.1,-5.25,15.75,competence,,random,039,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_039,0.1,-5.8125,16.375,competence,,random,039,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_039,0.1,-6.125,15.5,competence,,random,039,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_039,0.1,-5.125,16.34375,competence,,random,039,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_039,0.1,-5.71875,15.03125,competence,,random,039,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_039,0.1,-5.828125,15.859375,competence,,random,039,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_039,0.1,-5.65625,15.96875,competence,,random,039,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_040,-0.1,5.890625,-15.609375,competence,,random,040,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_040,-0.1,6.447265625,-14.990234375,competence,,random,040,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_040,-0.1,2.25,-18.375,competence,,random,040,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_040,-0.1,8.1796875,-12.8203125,competence,,random,040,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_040,-0.1,3.71875,-16.78125,competence,,random,040,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_040,-0.1,4.796875,-16.890625,competence,,random,040,denoised
