mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,16.1375,15.9375,16.3375,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,14.1,13.7,14.475,20,10
steering,competence,random,-0.1,-2.21875,-2.56875,-1.85625,20,10
steering,competence,random,-0.05,0.2,-0.12515624999999972,0.575,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,1.05,0.80625,1.275,20,10
steering,competence,random,0.1,0.3,0.05,0.5625,20,10
steering,competence,raw_dense,-0.1,-0.98125,-1.375,-0.65,20,10
steering,competence,raw_dense,-0.05,-1.04375,-1.2189062499999996,-0.875,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.59375,0.525,0.6625,20,10
steering,competence,raw_dense,0.1,1.98125,1.80625,2.19375,20,10
steering,warmth,random,-0.1,-0.003125,-0.33125,0.346875,20,10
steering,warmth,random,-0.05,-0.05625,-0.30640624999999977,0.19375,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,-1.51875,-1.8,-1.28125,20,10
steering,warmth,random,0.1,0.103125,-0.31875,0.4938281249999996,20,10
steering,warmth,raw_dense,-0.1,-1.8625,-2.01875,-1.7,20,10
steering,warmth,raw_dense,-0.05,-1.0125,-1.0875,-0.9375,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,1.63125,1.49375,1.775,20,10
steering,warmth,raw_dense,0.1,3.8125,3.55,4.05,20,10
