model,layer,width,vector,rank,feature_idx,effect,mean_activation,activation_frequency,top_story_ids,top_story_conditions,neuronpedia_url
google/gemma-3-27b-it,40,16k,warmth,1,190,227.4623260498047,151.33242797851562,0.26,high_warmth_t079_s00168;high_warmth_t005_s00036;high_competence_t005_s00038;high_warmth_t049_s00120;high_warmth_t006_s00040,high_warmth;high_warmth;high_competence;high_warmth;high_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/190
google/gemma-3-27b-it,40,16k,warmth,2,1898,168.0684814453125,45.96046447753906,0.06,high_warmth_t028_s00088;high_competence_t028_s00090;high_warmth_t025_s00076;high_warmth_t045_s00008;high_warmth_t097_s00196,high_warmth;high_competence;high_warmth;high_warmth;high_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/1898
google/gemma-3-27b-it,40,16k,warmth,3,517,134.56640625,38.33258819580078,0.055,high_warmth_t035_s00092;high_warmth_t036_s00096;high_warmth_t028_s00088;high_warmth_t037_s00100;high_warmth_t078_s00164,high_warmth;high_warmth;high_warmth;high_warmth;high_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/517
google/gemma-3-27b-it,40,16k,warmth,4,28,-132.3480682373047,61.92184066772461,0.15,low_warmth_t068_s00149;low_warmth_t001_s00021;low_warmth_t006_s00041;low_competence_t077_s00163;low_warmth_t069_s00153,low_warmth;low_warmth;low_warmth;low_competence;low_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/28
google/gemma-3-27b-it,40,16k,warmth,5,3808,-128.56199645996094,133.53720092773438,0.155,low_warmth_t004_s00033;low_warmth_t008_s00049;high_warmth_t004_s00032;low_warmth_t085_s00173;low_warmth_t015_s00061,low_warmth;low_warmth;high_warmth;low_warmth;low_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/3808
google/gemma-3-27b-it,40,16k,warmth,6,591,126.60328674316406,149.67098999023438,0.225,high_warmth_t000_s00000;high_competence_t001_s00022;low_competence_t001_s00023;low_competence_t000_s00003;high_competence_t003_s00030,high_warmth;high_competence;low_competence;low_competence;high_competence,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/591
google/gemma-3-27b-it,40,16k,warmth,7,2916,125.32598876953125,206.26808166503906,0.375,low_competence_t008_s00051;high_competence_t006_s00042;low_competence_t037_s00103;low_competence_t078_s00167;high_warmth_t049_s00120,low_competence;high_competence;low_competence;low_competence;high_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/2916
google/gemma-3-27b-it,40,16k,warmth,8,24,115.62158203125,40.20338821411133,0.07,high_warmth_t095_s00188;high_warmth_t055_s00124;high_warmth_t037_s00100;high_competence_t095_s00190;high_warmth_t026_s00080,high_warmth;high_warmth;high_warmth;high_competence;high_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/24
google/gemma-3-27b-it,40,16k,warmth,9,1701,-91.25240325927734,31.50076675415039,0.055,low_warmth_t010_s00057;low_competence_t003_s00031;low_warmth_t055_s00125;low_warmth_t016_s00065;low_warmth_t002_s00025,low_warmth;low_competence;low_warmth;low_warmth;low_warmth,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/1701
google/gemma-3-27b-it,40,16k,warmth,10,577,-85.32530975341797,87.11876678466797,0.17,low_competence_t047_s00115;low_competence_t036_s00099;low_competence_t056_s00131;low_competence_t066_s00143;low_competence_t069_s00155,low_competence;low_competence;low_competence;low_competence;low_competence,https://www.neuronpedia.org/gemma-3-27b-it/40-gemmascope-2-res-16k/577
