name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
natalie,61.0,49.0,neumark,1,-9.135368347167969,17.790735244750977,1.875
nathan,61.92537313432836,67.57711442786069,flake_leasure,201,-9.511404037475586,17.979467391967773,1.625
neil,55.86601307189542,65.47368421052632,bertrand,306,-9.410301208496094,17.486263275146484,1.25
nia jackson,59.58620689655172,57.06896551724138,gorzig,58,-7.963296890258789,18.095142364501953,2.25
nicole minsopoulos,62.357142857142854,64.57142857142857,oreopoulos,14,-7.731792449951172,17.697059631347656,1.875
pamela,29.333333333333332,42.0,neumark,3,-9.488014221191406,17.537384033203125,1.75
panav singh,42.388888888888886,62.5,oreopoulos,18,-8.142274856567383,17.611845016479492,1.625
patrice,55.89108910891089,52.26732673267327,flake_leasure,202,-8.292868614196777,17.644336700439453,1.875
patricia,36.0,46.0,neumark,2,-9.132553100585938,17.863727569580078,2.125
paul,75.0,74.0,neumark,1,-9.659873962402344,17.758869171142578,1.625
phillips,20.0,17.0,neumark,1,-9.985895156860352,17.44155502319336,1.375
priyanka kaur,52.77777777777778,61.888888888888886,oreopoulos,9,-6.057672500610352,18.072336196899414,2.125
qahhar kazim,30.65,45.175,widner,40,-7.392857074737549,16.310359954833984,1.375
rabab saeed,38.2,54.6,oreopoulos,10,-6.175648212432861,16.494808197021484,1.75
rachel,65.0,60.0,neumark,1,-8.861711502075195,18.237712860107422,1.875
rahul kaur,47.30769230769231,60.61538461538461,oreopoulos,13,-7.6849365234375,18.577831268310547,1.625
rasheed,46.14657980456026,52.09771986970684,bertrand,307,-8.041339874267578,17.78081512451172,1.75
rebecca,64.29850746268657,60.681592039801,flake_leasure,201,-8.88217830657959,18.009756088256836,2.125
reginald,50.663366336633665,64.0,flake_leasure,202,-8.672470092773438,15.909201622009277,1.75
richard,6.0,4.0,neumark,1,-9.727883338928223,17.792957305908203,1.625
robert,72.0,61.5,neumark,4,-9.558643341064453,17.921432495117188,1.75
robert krueger,46.63414634146341,69.73170731707317,widner,41,-8.480382919311523,16.625818252563477,1.625
roderick,48.881188118811885,55.415841584158414,flake_leasure,202,-8.355012893676758,17.097501754760742,1.625
rose,71.58,62.75,farber,100,-8.98554801940918,18.00196647644043,2.0
ryan,63.333333333333336,66.66666666666667,neumark,3,-9.4181547164917,18.22300910949707,1.75
samantha,47.0,51.0,neumark,1,-8.914895057678223,18.077510833740234,2.0
samir sharma,48.23076923076923,65.07692307692308,oreopoulos,13,-8.132848739624023,18.053680419921875,1.75
sana khan,62.642857142857146,68.57142857142857,oreopoulos,14,-7.705092430114746,17.95035171508789,2.375
sandra,80.0,90.0,neumark,1,-9.04986572265625,17.56438446044922,1.75
sarah,64.34868421052632,65.13486842105263,bertrand,304,-8.784148216247559,18.33367919921875,1.75
sarah davis,66.27083333333333,62.979166666666664,jacquemet,48,-8.04680061340332,18.842517852783203,1.875
scott,60.49009900990099,66.33168316831683,flake_leasure,202,-9.561410903930664,17.983091354370117,1.625
shakir imtiaz,39.34782608695652,43.08695652173913,widner,46,-7.31037712097168,16.505964279174805,1.625
shannon,53.19,57.03,farber,100,-9.0751953125,17.64778709411621,2.0
sharon,39.0,45.0,neumark,1,-9.095870018005371,17.463787078857422,1.75
shirley,69.0,48.5,neumark,2,-9.214418411254883,17.53075408935547,1.5
shreya sharma,56.42857142857143,62.785714285714285,oreopoulos,14,-6.552852630615234,18.542213439941406,2.25
sofiko kushtrim,52.027027027027025,57.846846846846844,jacquemet,111,-7.225957870483398,16.707231521606445,2.0
steohen,34.0,52.75,neumark,4,-9.317264556884766,16.451906204223633,-1.125
stephanie,91.0,76.0,neumark,1,-9.070512771606445,17.91410255432129,1.875
stephen,55.0,91.0,neumark,1,-9.68482780456543,17.56284523010254,1.5
steven,49.5,44.0,neumark,2,-9.491650581359863,17.58439826965332,1.5
susan,58.838815789473685,60.625,farber,304,-9.403406143188477,17.73755645751953,2.0
tameka,44.49,43.46,flake_leasure,200,-7.816559791564941,17.370317459106445,2.0
tamika,50.20779220779221,48.745098039215684,bertrand,308,-7.967694282531738,17.963411331176758,1.625
tammy,50.5,70.5,neumark,2,-8.603719711303711,17.38693618774414,1.625
tanisha,50.299674267100976,48.43322475570032,bertrand,307,-8.092595100402832,17.99551773071289,2.0
tanisha white,54.35294117647059,49.411764705882355,jacquemet,51,-8.087926864624023,18.144451141357422,2.25
tao wang,44.81818181818182,73.27272727272727,oreopoulos,11,-8.626195907592773,18.527725219726562,1.875
tara singh,64.77777777777777,68.11111111111111,oreopoulos,9,-8.871013641357422,17.70686149597168,1.75
tawanda,42.663366336633665,40.7029702970297,flake_leasure,202,-7.394895076751709,17.16926383972168,1.875
teresa,49.0,45.0,neumark,1,-8.948405265808105,17.88007926940918,1.625
terrance,50.23762376237624,52.56435643564357,flake_leasure,202,-8.95798110961914,17.157989501953125,1.5
terrell,47.37623762376238,46.42574257425743,flake_leasure,202,-8.81484603881836,17.269079208374023,1.375
thomas,74.0,82.0,neumark,1,-9.489535331726074,17.646198272705078,1.625
timothy,42.0,41.666666666666664,neumark,3,-9.745738983154297,17.31563377380371,1.5
timoty,40.0,33.0,neumark,1,-8.995660781860352,15.987581253051758,0.0
todd,54.69055374592834,59.98371335504886,bertrand,307,-9.810269355773926,17.513620376586914,1.375
tomeka,43.198019801980195,40.603960396039604,flake_leasure,202,-8.27210807800293,17.577228546142578,1.875
tracy,41.0,45.5,neumark,4,-9.071584701538086,17.832469940185547,1.875
tremayne,46.33876221498371,45.28664495114006,bertrand,307,-8.944049835205078,17.429536819458008,1.75
tyler,54.0,55.333333333333336,neumark,3,-9.534221649169922,17.794410705566406,1.375
tyrone,45.87012987012987,48.29545454545455,bertrand,308,-9.199715614318848,16.73130226135254,1.75
victoria,70.0,60.0,neumark,1,-8.977469444274902,17.872814178466797,2.125
vivian zhang,64.16666666666667,74.33333333333333,oreopoulos,6,-7.9638166427612305,18.227890014648438,2.0
wiliam,71.66666666666667,73.66666666666667,neumark,3,-8.855667114257812,16.696449279785156,0.375
william,49.333333333333336,47.0,neumark,3,-9.51594066619873,17.767345428466797,1.625
william novak,56.1875,77.58333333333333,widner,48,-9.602509498596191,17.522537231445312,1.625
xavier washington,54.02040816326531,59.285714285714285,gorzig,49,-8.573899269104004,17.930023193359375,1.75
xiuying zhang,53.92857142857143,75.5,oreopoulos,14,-7.738211631774902,17.499963760375977,1.75
yong zhang,36.44444444444444,63.666666666666664,oreopoulos,9,-8.973358154296875,17.7730712890625,1.875
zachary,55.75,54.5,neumark,4,-8.858502388000488,17.298065185546875,1.25
