axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-0.7358156028368794,-0.75,-0.7207446808510638,282,5000
warmth,-0.05,-0.4348404255319149,-0.44902482269503546,-0.42109929078014185,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.4219858156028369,0.399822695035461,0.44370567375886527,282,5000
warmth,0.1,0.9955673758865248,0.9676418439716312,1.0217198581560283,282,5000
competence,-0.1,-0.48891843971631205,-0.5022163120567376,-0.47560948581560303,282,5000
competence,-0.05,-0.30230496453900707,-0.31560283687943264,-0.2894503546099291,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,0.2220744680851064,0.20656028368794327,0.23847517730496454,282,5000
competence,0.1,0.43129432624113473,0.4095744680851064,0.45390070921985815,282,5000
