layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.86,0.04899,0.97,0.024495,2.796941,3.722836,0.097917,11.4931
1,0.0256,False,0.91,0.08,0.99,0.02,3.509712,3.785737,0.123254,16.2566
2,0.0513,False,0.93,0.05099,0.99,0.02,4.074707,4.175958,0.191895,18.4433
3,0.0769,False,0.95,0.031623,1.0,0.0,4.497968,4.754294,0.231027,20.5303
4,0.1026,False,0.98,0.024495,1.0,0.0,4.515041,4.924395,0.288013,24.961
5,0.1282,False,0.97,0.04,1.0,0.0,4.329848,4.882651,0.325061,27.9634
6,0.1538,False,0.96,0.02,1.0,0.0,4.236596,4.43279,0.321461,31.2729
7,0.1795,False,0.95,0.031623,0.99,0.02,3.867058,4.185238,0.31865,37.286
8,0.2051,False,0.96,0.02,1.0,0.0,3.615479,4.524126,0.362755,44.4071
9,0.2308,False,0.96,0.02,0.99,0.02,3.925314,4.742751,0.383433,51.8734
10,0.2564,False,0.97,0.024495,1.0,0.0,4.264235,5.21441,0.438374,55.6873
11,0.2821,False,0.98,0.024495,1.0,0.0,4.857149,6.128284,0.475539,54.6828
12,0.3077,False,0.99,0.02,1.0,0.0,5.883723,7.476999,0.508749,52.3167
13,0.3333,False,1.0,0.0,1.0,0.0,6.261221,7.790047,0.500682,58.0439
14,0.359,False,1.0,0.0,1.0,0.0,6.380829,7.975732,0.516615,64.065
15,0.3846,False,1.0,0.0,1.0,0.0,6.580188,8.662264,0.550491,66.7209
16,0.4103,False,1.0,0.0,1.0,0.0,7.217052,9.063656,0.575704,71.1896
17,0.4359,False,1.0,0.0,1.0,0.0,7.66051,9.474533,0.599045,80.1166
18,0.4615,False,1.0,0.0,1.0,0.0,7.761046,9.41995,0.612349,83.2496
19,0.4872,False,1.0,0.0,1.0,0.0,7.843362,9.356812,0.605905,84.4534
20,0.5128,False,1.0,0.0,1.0,0.0,8.398412,9.131194,0.6091,98.0847
21,0.5385,False,1.0,0.0,1.0,0.0,9.26199,9.958954,0.582906,109.9098
22,0.5641,False,1.0,0.0,1.0,0.0,9.662919,10.252094,0.60944,124.1416
23,0.5897,False,1.0,0.0,1.0,0.0,9.289425,9.845241,0.622032,134.0546
24,0.6154,False,1.0,0.0,1.0,0.0,9.444136,10.483532,0.580393,150.4909
25,0.641,False,1.0,0.0,1.0,0.0,9.924414,10.81081,0.565407,173.0822
26,0.6667,True,1.0,0.0,1.0,0.0,8.966496,9.970719,0.535891,206.5843
27,0.6923,False,1.0,0.0,1.0,0.0,8.627955,10.181027,0.525674,234.9468
28,0.7179,False,1.0,0.0,1.0,0.0,8.493875,9.921265,0.517459,270.6287
29,0.7436,False,1.0,0.0,1.0,0.0,7.884184,8.940113,0.490731,318.3904
30,0.7692,False,1.0,0.0,1.0,0.0,7.923746,8.959821,0.494469,382.7655
31,0.7949,False,1.0,0.0,1.0,0.0,7.560288,8.586145,0.484496,464.3882
32,0.8205,False,1.0,0.0,1.0,0.0,7.065718,7.811141,0.470043,556.2383
33,0.8462,False,1.0,0.0,1.0,0.0,6.927958,7.768327,0.475235,662.8044
34,0.8718,False,1.0,0.0,1.0,0.0,6.947687,7.705198,0.478813,764.7305
35,0.8974,False,1.0,0.0,1.0,0.0,6.803623,7.721546,0.481197,918.9434
36,0.9231,False,1.0,0.0,1.0,0.0,6.8419,7.863067,0.481143,1061.7681
37,0.9487,False,1.0,0.0,1.0,0.0,7.038567,7.897784,0.487743,1299.2117
38,0.9744,False,1.0,0.0,1.0,0.0,6.949962,7.70776,0.472572,1789.0536
39,1.0,False,0.99,0.02,1.0,0.0,4.337143,6.129673,0.550293,1633.2147
