axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-1.1059293273492907,-1.1301679895279255,-1.0836526207890071,282,5000
warmth,-0.05,-0.3738121952570922,-0.39213226534796103,-0.3565582924700798,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,-0.08001579122340426,-0.10091518104499114,-0.05722162774268618,282,5000
warmth,0.1,-0.4582398326684397,-0.48930707349844854,-0.422016289893617,282,5000
competence,-0.1,-1.0086955618351063,-1.034994182180851,-0.9849182561779699,282,5000
competence,-0.05,-0.2523167386968085,-0.2729013429465869,-0.2323246516234486,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,-0.2588756371897163,-0.2808626648382092,-0.23488587724401597,282,5000
competence,0.1,-0.8022530197251773,-0.8345314404643174,-0.7624093562998671,282,5000
