axis,group,n,model_callback_margin,model_warmth,model_competence,human_warm,human_competent,human_callback,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
race,Black,47,1.758,-8.4583,17.4209,50.1008,49.9747,0.183,0.3510944131966947,-0.33829639627870955,-0.30467253546572737,-0.5763895831864985
race,White,180,1.7,-9.1379,17.7456,56.5573,59.6765,0.1712,-0.46006134483436256,0.1730498207996729,0.20659165775379126,0.14563319285846038
gender,Female,154,1.8506,-8.6427,17.7576,56.1075,57.6966,0.1454,0.13099858950492468,0.1919477407409751,0.17097380998640374,-0.0017139895501044956
gender,Male,115,1.537,-8.9872,17.482,51.8794,58.6224,0.1815,-0.28018910714266065,-0.24207448724425,-0.1638323753077107,0.06718546066144643
