alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.5625,warmth,5.439453029132101,target,additive,warmth,1,24.9375,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t079_s00168,-0.1,79,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.53125,warmth,5.439453029132101,target,additive,warmth,1,24.9375,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t097_s00196,-0.1,97,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,1.09375,warmth,5.439453029132101,target,additive,warmth,0,-24.75,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t019_s00005,-0.1,19,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.90625,warmth,5.439453029132101,target,additive,warmth,0,-24.59375,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t003_s00029,-0.1,3,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.90625,warmth,5.439453029132101,target,additive,warmth,0,-25.0625,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t008_s00049,-0.1,8,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.6875,warmth,5.439453029132101,target,additive,warmth,0,-24.8125,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t035_s00093,-0.1,35,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.8125,warmth,5.439453029132101,target,additive,warmth,0,-24.8125,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t056_s00129,-0.1,56,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.84375,warmth,5.439453029132101,target,additive,warmth,0,-24.5625,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t057_s00133,-0.1,57,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,1.0,warmth,5.439453029132101,target,additive,warmth,0,-25.125,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t066_s00141,-0.1,66,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.9375,warmth,5.439453029132101,target,additive,warmth,0,-25.0,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t078_s00165,-0.1,78,raw
