mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_002,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.01859109230232063,0.0,0.0,0.0
steering,competence,random_002,0.05,-0.01875,-0.0625,0.01875,20,additive,sd_matched,0.01859109230232063,0.012452160246779384,0.6697917499567815,0.00016461306950077415
steering,competence,random_002,0.05,-0.01875,-0.0625,0.01875,20,norm_preserving,sd_matched,0.01859109230232063,0.012452160246779384,0.6697917499567815,0.00016461306950077415
steering,competence,random_002,0.1,-0.0125,-0.05,0.03125,20,additive,sd_matched,0.01859109230232063,0.024904320493558767,1.339583499913563,0.0003541728656273335
steering,competence,random_002,0.1,-0.0125,-0.05,0.03125,20,norm_preserving,sd_matched,0.01859109230232063,0.024904320493558767,1.339583499913563,0.0003541728656273335
steering,competence,random_003,-0.1,-0.0375,-0.075,0.0,20,additive,sd_matched,0.0195235868270336,-0.026153474772624002,-1.339583499913563,0.0003178740735165775
steering,competence,random_003,-0.1,-0.0375,-0.075,0.0,20,norm_preserving,sd_matched,0.0195235868270336,-0.026153474772624002,-1.339583499913563,0.0003178740735165775
steering,competence,random_003,-0.05,-0.05625,-0.13125,0.01875,20,additive,sd_matched,0.0195235868270336,-0.013076737386312001,-0.6697917499567815,0.00018848387117031962
steering,competence,random_003,-0.05,-0.05625,-0.13125,0.01875,20,norm_preserving,sd_matched,0.0195235868270336,-0.013076737386312001,-0.6697917499567815,0.00018848387117031962
steering,competence,random_003,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.0195235868270336,0.0,0.0,0.0
steering,competence,random_003,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.0195235868270336,0.0,0.0,0.0
steering,competence,random_003,0.05,0.0125,-0.0375,0.0625,20,additive,sd_matched,0.0195235868270336,0.013076737386312001,0.6697917499567815,0.00017665883933659643
steering,competence,random_003,0.05,0.0125,-0.0375,0.0625,20,norm_preserving,sd_matched,0.0195235868270336,0.013076737386312001,0.6697917499567815,0.00017665883933659643
steering,competence,random_003,0.1,-0.05,-0.13125,0.03125,20,additive,sd_matched,0.0195235868270336,0.026153474772624002,1.339583499913563,0.00027969872462563217
steering,competence,random_003,0.1,-0.05,-0.13125,0.03125,20,norm_preserving,sd_matched,0.0195235868270336,0.026153474772624002,1.339583499913563,0.00027969872462563217
steering,competence,random_004,-0.1,0.00625,-0.0375,0.05,20,additive,sd_matched,0.02167615245008739,-0.029037016163748017,-1.3395834999135627,0.000491571903694421
steering,competence,random_004,-0.1,0.00625,-0.0375,0.05,20,norm_preserving,sd_matched,0.02167615245008739,-0.029037016163748017,-1.3395834999135627,0.000491571903694421
steering,competence,random_004,-0.05,-0.0125,-0.05625,0.03125,20,additive,sd_matched,0.02167615245008739,-0.014518508081874009,-0.6697917499567814,0.0002659342426341027
steering,competence,random_004,-0.05,-0.0125,-0.05625,0.03125,20,norm_preserving,sd_matched,0.02167615245008739,-0.014518508081874009,-0.6697917499567814,0.0002659342426341027
steering,competence,random_004,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.02167615245008739,0.0,0.0,0.0
steering,competence,random_004,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.02167615245008739,0.0,0.0,0.0
steering,competence,random_004,0.05,-0.01875,-0.09375,0.05,20,additive,sd_matched,0.02167615245008739,0.014518508081874009,0.6697917499567814,0.0002445219433866441
steering,competence,random_004,0.05,-0.01875,-0.09375,0.05,20,norm_preserving,sd_matched,0.02167615245008739,0.014518508081874009,0.6697917499567814,0.0002445219433866441
steering,competence,random_004,0.1,-0.025,-0.09375,0.0375,20,additive,sd_matched,0.02167615245008739,0.029037016163748017,1.3395834999135627,0.00041329904343001544
steering,competence,random_004,0.1,-0.025,-0.09375,0.0375,20,norm_preserving,sd_matched,0.02167615245008739,0.029037016163748017,1.3395834999135627,0.00041329904343001544
steering,competence,random_005,-0.1,-0.025,-0.09375,0.04375,20,additive,sd_matched,0.01786573688424454,-0.023932646343931132,-1.339583499913563,0.0003331790794618428
steering,competence,random_005,-0.1,-0.025,-0.09375,0.04375,20,norm_preserving,sd_matched,0.01786573688424454,-0.023932646343931132,-1.339583499913563,0.0003331790794618428
steering,competence,random_005,-0.05,-0.00625,-0.09375,0.06875,20,additive,sd_matched,0.01786573688424454,-0.011966323171965566,-0.6697917499567815,0.00023136191884987056
