axis,group,n,model_callback_margin,model_warmth,model_competence,human_warm,human_competent,human_callback,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
race,Black,47,1.6649,26143.9525,25183.9326,50.1008,49.9747,0.183,-0.38547892486480545,-0.36031230041026774,-0.30467253546572737,-0.5763895831864985
race,White,180,1.1208,26600.9049,25607.7986,56.5573,59.6765,0.1712,0.35386531500280133,0.3554249140067031,0.20659165775379126,0.14563319285846038
gender,Female,154,1.1177,26448.0384,25462.4634,56.1075,57.6966,0.1454,0.10652890481276601,0.1100128941590811,0.17097380998640374,-0.0017139895501044956
gender,Male,115,1.312,26333.6852,25349.9671,51.8794,58.6224,0.1815,-0.0784933857593572,-0.07994758484658443,-0.1638323753077107,0.06718546066144643
