axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.5,-11.269051106770833,-11.345613606770833,-11.198170572916666,60,5000
warmth,-0.25,-4.118437194824219,-4.206203715006511,-4.046812807718913,60,5000
warmth,0.0,0.0,0.0,0.0,60,5000
warmth,0.25,-1.9091552734375,-1.9809895833333333,-1.8224188232421876,60,5000
warmth,0.5,-2.5903076171875,-2.6694742838541665,-2.4911934407552083,60,5000
competence,-0.5,-7.3560302734375,-7.432813517252604,-7.2779052734375,60,5000
competence,-0.25,-2.7869873046875,-2.855196940104167,-2.7264068603515628,60,5000
competence,0.0,0.0,0.0,0.0,60,5000
competence,0.25,-2.5256917317708334,-2.5927083333333334,-2.4423384602864586,60,5000
competence,0.5,-3.643058268229167,-3.7192118326822916,-3.5469871012369794,60,5000
