mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10,warmth,,accuracy,,raw
baseline,warmth,high_low_margin_gap,,51.9125,51.299921874999995,52.362578125,20,10,warmth,,high_low_margin_gap,,raw
baseline,competence,accuracy,,1.0,1.0,1.0,20,10,competence,,accuracy,,raw
baseline,competence,high_low_margin_gap,,51.2796875,51.0,51.526640625,20,10,competence,,high_low_margin_gap,,raw
steering,competence,competence,-0.1,0.34140625,0.2515625,0.43671875,20,10,competence,competence,target,,raw
steering,competence,competence,-0.05,0.10625,0.04140625,0.175,20,10,competence,competence,target,,raw
steering,competence,competence,0.0,0.0,0.0,0.0,20,10,competence,competence,target,,raw
steering,competence,competence,0.05,0.00390625,-0.0546875,0.06015625,20,10,competence,competence,target,,raw
steering,competence,competence,0.1,-0.05703125,-0.14767578124999994,0.03988281249999978,20,10,competence,competence,target,,raw
steering,competence,random_000,-0.1,0.078125,-0.14070312499999987,0.30078125,20,10,competence,,random,000,raw
steering,competence,random_000,-0.05,-1.82890625,-2.2766210937499998,-1.39841796875,20,10,competence,,random,000,raw
steering,competence,random_000,0.0,0.0,0.0,0.0,20,10,competence,,random,000,raw
steering,competence,random_000,0.05,-4.669816589355468,-5.027562866210937,-4.281904182434082,20,10,competence,,random,000,raw
steering,competence,random_000,0.1,2.9251953125,2.6804455566406253,3.1585949707031244,20,10,competence,,random,000,raw
steering,competence,random_001,-0.1,-3.05703125,-3.3359375,-2.801943359375,20,10,competence,,random,001,raw
steering,competence,random_001,-0.05,-6.251953125,-6.517978515625,-5.97572265625,20,10,competence,,random,001,raw
steering,competence,random_001,0.0,0.0,0.0,0.0,20,10,competence,,random,001,raw
steering,competence,random_001,0.05,-4.722265625,-5.02228515625,-4.3280859375,20,10,competence,,random,001,raw
steering,competence,random_001,0.1,-0.070703125,-0.235361328125,0.13575195312499994,20,10,competence,,random,001,raw
steering,competence,random_002,-0.1,5.51494140625,5.33133056640625,5.72969970703125,20,10,competence,,random,002,raw
steering,competence,random_002,-0.05,6.34146728515625,5.985921936035156,6.7156103515625,20,10,competence,,random,002,raw
steering,competence,random_002,0.0,0.0,0.0,0.0,20,10,competence,,random,002,raw
steering,competence,random_002,0.05,1.59375,1.19763671875,1.996875,20,10,competence,,random,002,raw
steering,competence,random_002,0.1,2.05986328125,1.85056640625,2.2272509765625,20,10,competence,,random,002,raw
steering,competence,random_003,-0.1,-6.2765625,-6.5508007812499995,-6.01794921875,20,10,competence,,random,003,raw
steering,competence,random_003,-0.05,-7.4998046875,-7.888964843749999,-7.10076171875,20,10,competence,,random,003,raw
steering,competence,random_003,0.0,0.0,0.0,0.0,20,10,competence,,random,003,raw
steering,competence,random_003,0.05,-3.72806396484375,-4.206894531250001,-3.2367065429687507,20,10,competence,,random,003,raw
steering,competence,random_003,0.1,-4.240625,-4.4273828125,-4.0460546875,20,10,competence,,random,003,raw
steering,competence,random_004,-0.1,11.91640625,11.67576171875,12.18361328125,20,10,competence,,random,004,raw
steering,competence,random_004,-0.05,6.43193359375,6.07455078125,6.787900390625,20,10,competence,,random,004,raw
steering,competence,random_004,0.0,0.0,0.0,0.0,20,10,competence,,random,004,raw
steering,competence,random_004,0.05,0.416796875,0.0007128906250001205,0.8078417968749999,20,10,competence,,random,004,raw
steering,competence,random_004,0.1,-1.00546875,-1.15390625,-0.8562109375000002,20,10,competence,,random,004,raw
steering,competence,random_005,-0.1,-7.9187255859375,-8.105522460937499,-7.723974609375,20,10,competence,,random,005,raw
steering,competence,random_005,-0.05,-5.81669921875,-6.15377197265625,-5.47695556640625,20,10,competence,,random,005,raw
