judgment_axis,steering_axis,direction_type,intervention,control_scale,endpoint_strength,endpoint_effect,slope,n_random_directions,endpoint_signed_percentile,endpoint_absolute_percentile,endpoint_random_median,endpoint_target_minus_random_median,slope_signed_percentile,slope_absolute_percentile,slope_random_median,slope_target_minus_random_median,paired_topic_difference,paired_topic_ci_low,paired_topic_ci_high
warmth,warmth,target,additive,sd_matched,0.1,0.4375,3.9515625000000005,99,0.37,0.15,0.953125,-0.515625,0.55,0.17,1.8414062499999997,2.110156250000001,-0.501171875,-0.660947265625,-0.342578125
warmth,competence,cross_axis,additive,sd_matched,0.1,0.090625,-1.3546875000000005,99,0.35,0.02,0.953125,-0.8625,0.46,0.05,1.8414062499999997,-3.19609375,-0.848046875,-1.027353515625,-0.6370996093750001
competence,warmth,cross_axis,additive,sd_matched,0.1,0.3640625,3.648437499999999,99,0.34,0.16,0.74765625,-0.38359375,0.6,0.27,0.7343749999999997,2.9140624999999996,-0.354296875,-0.4375,-0.2597558593750001
competence,competence,target,additive,sd_matched,0.1,-0.05703125,-1.7984375,99,0.24,0.06,0.74765625,-0.8046875,0.43,0.12,0.7343749999999997,-2.5328124999999995,-0.775390625,-0.873828125,-0.66875
warmth,warmth,target,norm_preserving,sd_matched,0.1,0.378125,3.5890625,99,0.36,0.12,0.953125,-0.575,0.53,0.14,1.8414062499999997,1.7476562500000001,-0.560546875,-0.7109375,-0.3866894531250004
warmth,competence,cross_axis,norm_preserving,sd_matched,0.1,0.046875,-1.0843750000000005,99,0.35,0.02,0.953125,-0.90625,0.46,0.05,1.8414062499999997,-2.92578125,-0.891796875,-1.035556640625,-0.734375
competence,warmth,cross_axis,norm_preserving,sd_matched,0.1,0.3390625,3.565625,99,0.33,0.15,0.74765625,-0.40859375000000003,0.6,0.27,0.7343749999999997,2.8312500000000003,-0.379296875,-0.48282226562499997,-0.2757617187500003
competence,competence,target,norm_preserving,sd_matched,0.1,-0.06015625,-1.6062500000000004,99,0.24,0.06,0.74765625,-0.8078125,0.44,0.11,0.7343749999999997,-2.340625,-0.778515625,-0.8796875,-0.6785058593750001
