race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,25.88888888888889,0.06672180156449874,45.196078830295136,78.05474344889323,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,gemma4_31b,-0.35247722749799476,-0.26764024745950155,0.5547965849701063,0.25839561087331686
Black,Female,kline,25.888157894736842,0.036580761661430435,45.20562081587942,77.98433604993318,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,gemma4_31b,-0.3330361005370177,-0.3296089076410632,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,25.78125,0.03862603378695658,45.40753173828125,78.30434078640408,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,gemma4_31b,0.07834325468720663,-0.04795861145407199,0.08051725761435544,0.21906624729743523
Black,Male,kline,25.789473684210527,0.02935034827702669,45.448201631244864,78.4435830367239,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,gemma4_31b,0.16120531160512389,0.07459464034094737,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,25.92361111111111,0.01388888888888889,45.56313620673286,79.0457517835829,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,gemma4_31b,0.395376454972612,0.6045899390911839,0.5230674011307682,0.5082300209525706
White,Female,farber,25.888020833333332,0.03228822990020332,45.47618548075358,78.86730702718098,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,gemma4_31b,0.21822044397461735,0.44753283097495916,0.3530355448134064,0.20741546431805133
White,Female,kline,25.888157894736842,0.02890663668084225,45.51075403313888,78.95670760305305,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,gemma4_31b,0.28865144702357154,0.526218224670509,0.8617911647831445,0.2622130299379943
White,Female,neumark,25.79832716112013,0.04990716868169058,45.4350521038105,78.7516361583363,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,gemma4_31b,0.13441407092777816,0.34572579264921544,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,25.694444444444443,0.0456369424586629,45.60737397935655,78.98172336154514,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,gemma4_31b,0.4855078166741562,0.5482356981189982,-0.3093082275622903,0.12177266305458478
White,Male,kline,25.708059210526315,0.03564756052910073,45.60340640419408,78.95878400300678,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,gemma4_31b,0.477424160313594,0.5280457559390211,0.45380831837716396,0.4899383014158095
White,Male,neumark,25.02378472222222,0.36274291596202496,45.57949939303928,78.75735999213325,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,gemma4_31b,0.42871530040046274,0.3507635914706166,-0.08477486596304186,-0.18021044013496992
