mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,16.0,15.725,16.2375,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,14.175,13.8,14.5875,20,10
steering,competence,axis_specific,-0.1,-2.125,-2.3125,-1.9125,20,10
steering,competence,axis_specific,-0.05,-1.125,-1.2875,-0.9625,20,10
steering,competence,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,competence,axis_specific,0.05,2.59375,2.4125,2.787656249999999,20,10
steering,competence,axis_specific,0.1,3.125,2.80625,3.45625,20,10
steering,competence,other_axis,-0.1,-1.45,-1.53125,-1.3625,20,10
steering,competence,other_axis,-0.05,-0.66875,-0.71875,-0.61875,20,10
steering,competence,other_axis,0.0,0.0,0.0,0.0,20,10
steering,competence,other_axis,0.05,0.8,0.64375,0.95625,20,10
steering,competence,other_axis,0.1,2.375,2.15625,2.58125,20,10
steering,competence,random,-0.1,1.04375,0.6934375000000005,1.4189062499999991,20,10
steering,competence,random,-0.05,-0.5,-0.69375,-0.2748437500000009,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,2.94375,2.66875,3.2125,20,10
steering,competence,random,0.1,2.884375,2.578125,3.20625,20,10
steering,competence,raw_dense,-0.1,-1.0125,-1.4376562499999996,-0.6435937500000009,20,10
steering,competence,raw_dense,-0.05,-0.98125,-1.1375,-0.8375,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.5375,0.48125,0.6,20,10
steering,competence,raw_dense,0.1,2.00625,1.85625,2.18125,20,10
steering,competence,sae_reconstructed,-0.1,-1.7125,-1.8564062499999996,-1.54375,20,10
steering,competence,sae_reconstructed,-0.05,-1.625,-1.75,-1.5,20,10
steering,competence,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,competence,sae_reconstructed,0.05,2.83125,2.5625,3.1,20,10
steering,competence,sae_reconstructed,0.1,3.6875,3.36875,4.012656249999999,20,10
steering,competence,shared,-0.1,-1.41875,-1.50625,-1.33125,20,10
steering,competence,shared,-0.05,-0.56875,-0.6125,-0.525,20,10
steering,competence,shared,0.0,0.0,0.0,0.0,20,10
steering,competence,shared,0.05,0.575,0.4,0.7375,20,10
steering,competence,shared,0.1,2.34375,2.0875,2.562656249999999,20,10
steering,warmth,axis_specific,-0.1,-1.70625,-1.875,-1.50625,20,10
steering,warmth,axis_specific,-0.05,-0.75625,-0.81875,-0.7,20,10
steering,warmth,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,warmth,axis_specific,0.05,0.94375,0.675,1.1625,20,10
steering,warmth,axis_specific,0.1,2.1,1.85625,2.2875,20,10
steering,warmth,other_axis,-0.1,-1.58125,-1.7875,-1.39375,20,10
steering,warmth,other_axis,-0.05,-1.66875,-1.8501562499999997,-1.46875,20,10
steering,warmth,other_axis,0.0,0.0,0.0,0.0,20,10
steering,warmth,other_axis,0.05,2.575,2.26875,2.85,20,10
steering,warmth,other_axis,0.1,3.2375,2.95625,3.55,20,10
steering,warmth,random,-0.1,-5.8,-6.3625,-5.175,20,10
steering,warmth,random,-0.05,1.1875,0.875,1.5126562499999991,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,-1.05625,-1.2125,-0.93125,20,10
steering,warmth,random,0.1,-0.321875,-0.603125,-0.05625,20,10
steering,warmth,raw_dense,-0.1,-1.79375,-1.9625,-1.63125,20,10
steering,warmth,raw_dense,-0.05,-0.90625,-1.00625,-0.80625,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,1.6375,1.50625,1.775,20,10
steering,warmth,raw_dense,0.1,3.88125,3.6375,4.100156249999999,20,10
steering,warmth,sae_reconstructed,-0.1,-1.475,-1.6,-1.3375,20,10
steering,warmth,sae_reconstructed,-0.05,-0.68125,-0.73125,-0.6375,20,10
steering,warmth,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,warmth,sae_reconstructed,0.05,0.68125,0.51875,0.85,20,10
steering,warmth,sae_reconstructed,0.1,2.3,2.05625,2.5625,20,10
steering,warmth,shared,-0.1,-1.3625,-1.43125,-1.29375,20,10
steering,warmth,shared,-0.05,-0.5625,-0.60625,-0.51875,20,10
steering,warmth,shared,0.0,0.0,0.0,0.0,20,10
steering,warmth,shared,0.05,0.38125,0.2375,0.54375,20,10
steering,warmth,shared,0.1,2.1625,1.8875,2.45,20,10
