mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,random_008,0.1,-7.140625,-9.051601562499998,-5.531171875,20,10,competence,,random,008,denoised
steering,competence,random_009,-0.1,2.47080078125,1.4939013671875,3.69083251953125,20,10,competence,,random,009,denoised
steering,competence,random_009,-0.05,2.5080078125,2.07531005859375,2.93389892578125,20,10,competence,,random,009,denoised
steering,competence,random_009,0.0,0.0,0.0,0.0,20,10,competence,,random,009,denoised
steering,competence,random_009,0.05,2.21162109375,1.6012890625000005,2.86660400390625,20,10,competence,,random,009,denoised
steering,competence,random_009,0.1,-2.473046875,-3.1516503906249995,-1.782802734375,20,10,competence,,random,009,denoised
steering,competence,random_010,-0.1,-5.47734375,-6.238662109375,-4.584621582031251,20,10,competence,,random,010,denoised
steering,competence,random_010,-0.05,-1.9529949188232423,-2.4354200458526614,-1.4929514598846436,20,10,competence,,random,010,denoised
steering,competence,random_010,0.0,0.0,0.0,0.0,20,10,competence,,random,010,denoised
steering,competence,random_010,0.05,4.9875,4.2,5.921328124999999,20,10,competence,,random,010,denoised
steering,competence,random_010,0.1,9.72349853515625,9.0007275390625,10.436846618652345,20,10,competence,,random,010,denoised
steering,competence,random_011,-0.1,-0.41875,-0.946875,0.103125,20,10,competence,,random,011,denoised
steering,competence,random_011,-0.05,-0.51341552734375,-0.828125,-0.16899658203125026,20,10,competence,,random,011,denoised
steering,competence,random_011,0.0,0.0,0.0,0.0,20,10,competence,,random,011,denoised
steering,competence,random_011,0.05,-4.32587890625,-4.749709472656249,-3.8984033203125,20,10,competence,,random,011,denoised
steering,competence,random_011,0.1,-6.48125,-6.912578125,-6.043671875,20,10,competence,,random,011,denoised
steering,competence,random_012,-0.1,-6.676904296875,-7.409244384765625,-5.781044921875,20,10,competence,,random,012,denoised
steering,competence,random_012,-0.05,-0.57109375,-1.14376953125,0.029726562499999786,20,10,competence,,random,012,denoised
steering,competence,random_012,0.0,0.0,0.0,0.0,20,10,competence,,random,012,denoised
steering,competence,random_012,0.05,4.3078125,3.6248046875,4.9984375,20,10,competence,,random,012,denoised
steering,competence,random_012,0.1,3.3920135498046875,2.8259979248046876,4.019023513793945,20,10,competence,,random,012,denoised
steering,competence,random_013,-0.1,2.6701171875,1.9392681884765626,3.4702233886718745,20,10,competence,,random,013,denoised
steering,competence,random_013,-0.05,-0.042578125,-0.6043261718749999,0.5367480468749999,20,10,competence,,random,013,denoised
steering,competence,random_013,0.0,0.0,0.0,0.0,20,10,competence,,random,013,denoised
steering,competence,random_013,0.05,-2.69234619140625,-3.0898590087890625,-2.345821533203125,20,10,competence,,random,013,denoised
steering,competence,random_013,0.1,-7.65078125,-8.430576171875,-6.99451171875,20,10,competence,,random,013,denoised
steering,competence,random_014,-0.1,-1.127294921875,-1.77795166015625,-0.5061901855468753,20,10,competence,,random,014,denoised
steering,competence,random_014,-0.05,2.33984375,1.85150390625,2.78986328125,20,10,competence,,random,014,denoised
steering,competence,random_014,0.0,0.0,0.0,0.0,20,10,competence,,random,014,denoised
steering,competence,random_014,0.05,5.1845703125,4.332734375,6.216284179687499,20,10,competence,,random,014,denoised
steering,competence,random_014,0.1,-4.96025390625,-5.59791748046875,-4.394333496093751,20,10,competence,,random,014,denoised
steering,competence,random_015,-0.1,4.080268859863281,3.3764140701293948,4.823526916503905,20,10,competence,,random,015,denoised
steering,competence,random_015,-0.05,0.531201171875,0.008220214843750056,1.101319580078125,20,10,competence,,random,015,denoised
steering,competence,random_015,0.0,0.0,0.0,0.0,20,10,competence,,random,015,denoised
steering,competence,random_015,0.05,5.9,5.2546484375,6.475,20,10,competence,,random,015,denoised
steering,competence,random_015,0.1,-2.598046875,-3.358291015625,-1.8691015625000003,20,10,competence,,random,015,denoised
steering,competence,random_016,-0.1,-0.44296875,-1.20939453125,0.4505273437499982,20,10,competence,,random,016,denoised
steering,competence,random_016,-0.05,4.850390625,4.160908203125,5.651728515624999,20,10,competence,,random,016,denoised
steering,competence,random_016,0.0,0.0,0.0,0.0,20,10,competence,,random,016,denoised
steering,competence,random_016,0.05,-4.201953125,-4.64453125,-3.6600683593750003,20,10,competence,,random,016,denoised
steering,competence,random_016,0.1,-3.0548828125,-4.092392578125001,-1.992426757812501,20,10,competence,,random,016,denoised
steering,competence,random_017,-0.1,-17.5609375,-18.44173828125,-16.50521484375,20,10,competence,,random,017,denoised
steering,competence,random_017,-0.05,-6.57373046875,-7.0424951171875,-6.125847167968749,20,10,competence,,random,017,denoised
steering,competence,random_017,0.0,0.0,0.0,0.0,20,10,competence,,random,017,denoised
steering,competence,random_017,0.05,0.3784423828125,-0.3536987304687499,1.2569482421874998,20,10,competence,,random,017,denoised
steering,competence,random_017,0.1,-4.6388671875,-5.348583984375,-3.8274462890625007,20,10,competence,,random,017,denoised
steering,competence,random_018,-0.1,-5.9197265625,-6.7155078125,-4.9715380859375005,20,10,competence,,random,018,denoised
steering,competence,random_018,-0.05,-3.080322265625,-3.544871826171875,-2.502127685546876,20,10,competence,,random,018,denoised
steering,competence,random_018,0.0,0.0,0.0,0.0,20,10,competence,,random,018,denoised
steering,competence,random_018,0.05,4.000732421875,3.70163818359375,4.282626953125,20,10,competence,,random,018,denoised
steering,competence,random_018,0.1,-2.041583251953125,-2.792905731201172,-1.1604956054687499,20,10,competence,,random,018,denoised
steering,competence,random_019,-0.1,6.09560546875,5.43094482421875,6.8226611328125,20,10,competence,,random,019,denoised
steering,competence,random_019,-0.05,3.27197265625,2.6478466796875,3.9285546875,20,10,competence,,random,019,denoised
steering,competence,random_019,0.0,0.0,0.0,0.0,20,10,competence,,random,019,denoised
steering,competence,random_019,0.05,3.221875,2.453125,3.9094140625,20,10,competence,,random,019,denoised
steering,competence,random_019,0.1,-10.0802734375,-10.9771533203125,-9.168271484375,20,10,competence,,random,019,denoised
steering,competence,random_020,-0.1,-3.83828125,-4.48986328125,-3.3077343750000003,20,10,competence,,random,020,denoised
steering,competence,random_020,-0.05,1.048828125,0.47340820312500004,1.6271191406249992,20,10,competence,,random,020,denoised
steering,competence,random_020,0.0,0.0,0.0,0.0,20,10,competence,,random,020,denoised
steering,competence,random_020,0.05,1.4935546875,0.7671630859375,2.1705224609375,20,10,competence,,random,020,denoised
steering,competence,random_020,0.1,-2.982861328125,-4.065352783203124,-1.8988964843750014,20,10,competence,,random,020,denoised
steering,competence,random_021,-0.1,11.152581787109375,10.553123779296875,11.771857757568359,20,10,competence,,random,021,denoised
steering,competence,random_021,-0.05,1.98837890625,1.1359240722656252,2.7870068359374995,20,10,competence,,random,021,denoised
steering,competence,random_021,0.0,0.0,0.0,0.0,20,10,competence,,random,021,denoised
steering,competence,random_021,0.05,-0.7359375,-1.3297265624999999,-0.08746093750000021,20,10,competence,,random,021,denoised
steering,competence,random_021,0.1,2.2171875,1.6904687500000004,2.6515625,20,10,competence,,random,021,denoised
steering,competence,random_022,-0.1,-4.1231689453125,-5.011924438476562,-3.0957421875000004,20,10,competence,,random,022,denoised
steering,competence,random_022,-0.05,2.258984375,1.4300390625000001,3.1372753906249993,20,10,competence,,random,022,denoised
steering,competence,random_022,0.0,0.0,0.0,0.0,20,10,competence,,random,022,denoised
steering,competence,random_022,0.05,0.225,-0.09375,0.5516796874999993,20,10,competence,,random,022,denoised
steering,competence,random_022,0.1,1.92685546875,1.18384033203125,2.6059350585937495,20,10,competence,,random,022,denoised
steering,competence,random_023,-0.1,-11.476171875,-12.052021484375,-10.80921875,20,10,competence,,random,023,denoised
steering,competence,random_023,-0.05,2.275,1.7890234375,2.7203906249999994,20,10,competence,,random,023,denoised
steering,competence,random_023,0.0,0.0,0.0,0.0,20,10,competence,,random,023,denoised
steering,competence,random_023,0.05,-0.035595703125,-0.7088037109374999,0.6327752685546875,20,10,competence,,random,023,denoised
