name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
qahhar kazim,30.65,45.175,widner,40,25239.65625,24307.25390625,1.25
rabab saeed,38.2,54.6,oreopoulos,10,25523.619140625,24549.966796875,1.25
rachel,65.0,60.0,neumark,1,26744.9140625,25750.3359375,1.625
rahul kaur,47.30769230769231,60.61538461538461,oreopoulos,13,26225.458984375,25231.123046875,1.25
rasheed,46.14657980456026,52.09771986970684,bertrand,307,26011.46484375,25059.8984375,2.125
rebecca,64.29850746268657,60.681592039801,flake_leasure,201,26802.291015625,25809.171875,1.0
reginald,50.663366336633665,64.0,flake_leasure,202,26717.546875,25724.8125,1.0
richard,6.0,4.0,neumark,1,26723.921875,25730.3046875,1.0
robert,72.0,61.5,neumark,4,26600.80078125,25622.056640625,0.375
robert krueger,46.63414634146341,69.73170731707317,widner,41,26510.16796875,25518.68359375,0.375
roderick,48.881188118811885,55.415841584158414,flake_leasure,202,25882.3828125,24939.830078125,1.75
rose,71.58,62.75,farber,100,26807.173828125,25805.326171875,1.5
ryan,63.333333333333336,66.66666666666667,neumark,3,26785.5,25791.1328125,1.625
samantha,47.0,51.0,neumark,1,26930.896484375,25902.62109375,1.125
samir sharma,48.23076923076923,65.07692307692308,oreopoulos,13,26814.142578125,25754.3515625,1.375
sana khan,62.642857142857146,68.57142857142857,oreopoulos,14,26068.20703125,25118.455078125,1.125
sandra,80.0,90.0,neumark,1,26741.60546875,25746.13671875,1.0
sarah,64.34868421052632,65.13486842105263,bertrand,304,26985.765625,25968.46875,0.875
sarah davis,66.27083333333333,62.979166666666664,jacquemet,48,27403.109375,26327.291015625,1.0
scott,60.49009900990099,66.33168316831683,flake_leasure,202,26731.576171875,25732.65234375,1.375
shakir imtiaz,39.34782608695652,43.08695652173913,widner,46,24959.400390625,23997.291015625,1.625
shannon,53.19,57.03,farber,100,26558.125,25576.044921875,1.375
sharon,39.0,45.0,neumark,1,26750.66015625,25739.515625,1.125
shirley,69.0,48.5,neumark,2,26736.693359375,25739.46484375,0.875
