layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.82,0.06,0.96,0.037417,1.640695,3.074553,0.098461,35.0559
1,0.0213,False,0.82,0.067823,0.98,0.024495,2.129263,2.751858,-0.101702,42.9711
2,0.0426,False,0.85,0.094868,0.96,0.02,2.256582,2.926648,0.135663,74.8252
3,0.0638,False,0.84,0.066332,0.96,0.02,2.654678,3.205698,0.130319,62.4563
4,0.0851,False,0.86,0.106771,0.96,0.02,2.449062,3.315337,0.258461,31.6263
5,0.1064,False,0.89,0.073485,0.91,0.02,2.401204,2.807016,0.139897,40.8802
6,0.1277,False,0.87,0.092736,0.93,0.024495,2.113191,2.758064,0.176966,41.8327
7,0.1489,False,0.83,0.074833,0.9,0.031623,2.617297,2.962216,0.160066,30.3911
8,0.1702,False,0.91,0.037417,0.92,0.04,2.760476,3.380325,0.129902,62.797
9,0.1915,False,0.83,0.067823,0.96,0.037417,2.625311,3.281114,0.19447,36.7173
10,0.2128,False,0.91,0.02,0.95,0.031623,2.339044,3.481243,0.28162,18.8117
11,0.234,False,0.77,0.024495,0.91,0.02,1.826119,2.943709,0.021843,17.5207
12,0.2553,False,0.84,0.05831,0.93,0.024495,1.980305,3.311944,0.056944,67.6213
13,0.2766,False,0.89,0.04899,0.98,0.024495,2.401908,3.606048,0.092033,130.9491
14,0.2979,False,0.94,0.073485,1.0,0.0,2.227268,4.401733,0.225184,171.748
15,0.3191,False,0.98,0.024495,1.0,0.0,3.875238,5.955904,0.397968,208.2002
16,0.3404,False,0.97,0.04,1.0,0.0,3.60039,6.319021,0.451162,230.2105
17,0.3617,False,0.98,0.024495,1.0,0.0,2.089877,3.825877,0.500346,166.0068
18,0.383,False,0.99,0.02,1.0,0.0,4.895052,5.541289,0.526008,166.4994
19,0.4043,False,0.99,0.02,1.0,0.0,5.014885,6.025458,0.599771,195.7488
20,0.4255,False,1.0,0.0,1.0,0.0,6.27441,8.156042,0.575165,234.8418
21,0.4468,False,1.0,0.0,1.0,0.0,7.518457,9.947956,0.604056,264.3688
22,0.4681,False,1.0,0.0,1.0,0.0,7.617421,8.368452,0.588094,278.0724
23,0.4894,False,1.0,0.0,1.0,0.0,7.553279,7.182944,0.559029,240.2344
24,0.5106,False,1.0,0.0,1.0,0.0,7.703288,7.969068,0.576878,235.7698
25,0.5319,False,1.0,0.0,1.0,0.0,9.957131,6.60245,0.613613,232.695
26,0.5532,False,1.0,0.0,1.0,0.0,10.545798,9.970822,0.593497,225.4558
27,0.5745,False,1.0,0.0,1.0,0.0,10.09199,10.38047,0.541946,198.2264
28,0.5957,False,1.0,0.0,1.0,0.0,9.891913,9.492097,0.537759,180.6491
29,0.617,False,1.0,0.0,1.0,0.0,9.608195,9.285255,0.496046,107.6206
30,0.6383,False,1.0,0.0,1.0,0.0,9.826,9.853119,0.490557,92.9762
31,0.6596,True,1.0,0.0,1.0,0.0,8.461919,8.982933,0.492562,97.8765
32,0.6809,False,1.0,0.0,1.0,0.0,6.507585,8.191784,0.438309,137.4974
33,0.7021,False,1.0,0.0,1.0,0.0,7.005057,7.052145,0.43434,157.6907
34,0.7234,False,1.0,0.0,1.0,0.0,5.837038,4.496032,0.439365,155.3792
35,0.7447,False,1.0,0.0,1.0,0.0,6.322976,4.251606,0.424998,107.1805
36,0.766,False,1.0,0.0,1.0,0.0,5.76049,3.825374,0.411492,100.2415
37,0.7872,False,1.0,0.0,1.0,0.0,5.149996,3.77774,0.416506,116.5147
38,0.8085,False,1.0,0.0,1.0,0.0,5.22389,3.458384,0.418466,143.9769
39,0.8298,False,1.0,0.0,1.0,0.0,5.360881,4.383106,0.388979,127.2304
40,0.8511,False,1.0,0.0,1.0,0.0,5.446026,5.054545,0.398897,82.5098
41,0.8723,False,1.0,0.0,1.0,0.0,4.968511,5.994409,0.404841,68.634
42,0.8936,False,1.0,0.0,1.0,0.0,4.639478,6.944749,0.390368,71.415
43,0.9149,False,1.0,0.0,1.0,0.0,3.734757,6.533655,0.373132,72.9051
44,0.9362,False,1.0,0.0,1.0,0.0,3.341434,6.304071,0.35212,82.4632
45,0.9574,False,1.0,0.0,1.0,0.0,3.040516,5.529415,0.314974,65.544
46,0.9787,False,1.0,0.0,1.0,0.0,1.71892,3.761007,0.272148,57.2634
47,1.0,False,0.96,0.037417,0.97,0.06,0.568899,2.183839,0.412101,9.3683
