axis,diff_norm,cosine_high_low,proj_high_mean,proj_high_std,proj_low_mean,proj_low_std,cohens_d,cv_mean,cv_std,cv_folds,topic_cv_mean,topic_cv_std,topic_cv_folds,direction_topic_cv_mean,direction_topic_cv_std,direction_topic_cv_folds
warmth,3122.134766,0.999294,42917.933594,1055.471436,39795.796875,1063.339478,2.947044,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.93,0.024495,"[0.9, 0.9, 0.95, 0.95, 0.95]"
competence,3542.53418,0.999041,41760.769531,1271.895996,38218.238281,852.016052,3.272519,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.95,0.044721,"[0.95, 1.0, 0.9, 0.9, 1.0]"
