label,axis,direction,local_slope,intercept,r_squared,min_strength,max_strength,n_strengths
gemma3_12b,competence,axis_specific,28.437499999999996,0.4937500000000002,0.9601916440948388,-0.1,0.1,5
gemma3_12b,competence,other_axis,18.237499999999997,0.2112500000000001,0.9660681804154216,-0.1,0.1,5
gemma3_12b,competence,random,14.249999999999996,1.2743749999999998,0.49748082386744263,-0.1,0.1,5
gemma3_12b,competence,raw_dense,15.112499999999995,0.11000000000000013,0.9148016162101674,-0.1,0.1,5
gemma3_12b,competence,sae_reconstructed,30.512499999999992,0.6362500000000002,0.9249875187994203,-0.1,0.1,5
gemma3_12b,competence,shared,17.3375,0.18625000000000005,0.9409078992931583,-0.1,0.1,5
gemma3_12b,warmth,axis_specific,18.625000000000007,0.11624999999999998,0.9949483994600631,-0.1,0.1,5
gemma3_12b,warmth,other_axis,27.7625,0.5125000000000001,0.9139189544711772,-0.1,0.1,5
gemma3_12b,warmth,random,17.425000000000015,-1.1981249999999999,0.2609236245906025,-0.1,0.1,5
gemma3_12b,warmth,raw_dense,27.787499999999994,0.5637500000000001,0.9558492205397768,-0.1,0.1,5
gemma3_12b,warmth,sae_reconstructed,17.824999999999996,0.1650000000000001,0.9619219176034498,-0.1,0.1,5
gemma3_12b,warmth,shared,15.987499999999999,0.12375000000000004,0.9236779280500145,-0.1,0.1,5
gemma3_27b,competence,axis_specific,37.7875,0.08250000000000005,0.9685705497830011,-0.1,0.1,5
gemma3_27b,competence,other_axis,6.400000000000001,-0.026249999999999957,0.7919566898685229,-0.1,0.1,5
gemma3_27b,competence,random,14.024999999999999,0.595,0.4815583270981276,-0.1,0.1,5
gemma3_27b,competence,raw_dense,8.850000000000001,-0.34124999999999994,0.8258709090669444,-0.1,0.1,5
gemma3_27b,competence,sae_reconstructed,38.3625,-0.24624999999999983,0.9800620621137246,-0.1,0.1,5
gemma3_27b,competence,shared,20.5125,-0.07874999999999988,0.9674470054162182,-0.1,0.1,5
gemma3_27b,warmth,axis_specific,-10.481250000000001,-0.42750000000000005,0.7854377549162317,-0.1,0.1,5
gemma3_27b,warmth,other_axis,35.01874999999999,-0.3981249999999996,0.9579074761041917,-0.1,0.1,5
gemma3_27b,warmth,random,4.499999999999999,0.4818749999999999,0.33078776493649686,-0.1,0.1,5
gemma3_27b,warmth,raw_dense,12.887499999999998,-0.16499999999999995,0.9896368281301788,-0.1,0.1,5
gemma3_27b,warmth,sae_reconstructed,-1.6749999999999994,-0.15125,0.21838171801077566,-0.1,0.1,5
gemma3_27b,warmth,shared,14.487499999999997,-0.29437499999999983,0.9022866132169763,-0.1,0.1,5
