race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,1.5138888888888888,0.1186667186849657,26107.431640625,25164.891493055555,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,gemma3_27b,-0.4445692962337284,-0.39246498272928604,0.5547965849701063,0.25839561087331686
Black,Female,kline,1.6710526315789473,0.08926812472389307,25997.994757401317,25053.17896792763,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,gemma3_27b,-0.6216370372949281,-0.5811019848727634,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,1.7777777777777777,0.17894581564896006,26274.14865451389,25309.69357638889,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,gemma3_27b,-0.17482289834484874,-0.1479531800209389,0.08051725761435544,0.21906624729743523
Black,Male,kline,1.7828947368421053,0.09693875484780852,26264.250308388157,25303.711965460527,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,gemma3_27b,-0.19083831962784714,-0.15805368712363937,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,1.125,0.09771699499632146,26846.19921875,25851.297526041668,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,gemma3_27b,0.7507489764959009,0.7665955269801178,0.5230674011307682,0.5082300209525706
White,Female,farber,0.8958333333333334,0.07820387432599463,26786.333333333332,25790.222005208332,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,gemma3_27b,0.6538865953214342,0.6634638222660865,0.3530355448134064,0.20741546431805133
White,Female,kline,1.0592105263157894,0.05843382716874661,26817.69418174342,25821.040912828947,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,gemma3_27b,0.7046281225119239,0.7155044178593934,0.8617911647831445,0.2622130299379943
White,Female,neumark,1.0162337662337662,0.038275938520414575,26626.71484375,25638.55288656656,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,gemma3_27b,0.3956255360736795,0.407356390932267,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,1.3333333333333333,0.10622957319984967,26662.635633680555,25668.045572916668,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,gemma3_27b,0.4537450013104304,0.45715753840316803,-0.3093082275622903,0.12177266305458478
White,Male,kline,1.3355263157894737,0.06416113525582365,26652.826274671053,25660.59488075658,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,gemma3_27b,0.4378735602577776,0.4445763508294074,0.45380831837716396,0.4899383014158095
White,Male,neumark,1.2666666666666666,0.06363861828617697,26436.698697916665,25453.090755208334,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,gemma3_27b,0.08818138455216695,0.09418631058099869,-0.08477486596304186,-0.18021044013496992
