axis,diff_norm,cosine_high_low,proj_high_mean,proj_high_std,proj_low_mean,proj_low_std,cohens_d,cv_mean,cv_std,cv_folds,topic_cv_mean,topic_cv_std,topic_cv_folds,direction_topic_cv_mean,direction_topic_cv_std,direction_topic_cv_folds
warmth,2837.621582,0.999647,54546.34375,1099.169067,51708.726562,1001.269897,2.698998,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.044721,"[0.95, 0.85, 0.95, 0.85, 0.9]"
competence,3389.776123,0.999558,58713.160156,1286.74585,55323.390625,1103.789673,2.827722,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.070711,"[1.0, 0.95, 0.85, 0.8, 0.9]"
