axis,strength,name,margin,delta
warmth,-0.5,jilue,18.875,-2.6875
warmth,-0.5,joan,17.84375,-2.90625
warmth,-0.5,john,17.625,-3.25
warmth,-0.5,john martin,18.125,-2.875
warmth,-0.5,john mueller,17.46875,-3.46875
warmth,-0.5,jonathan,18.0625,-3.125
warmth,-0.5,jonathon,17.4375,-3.75
warmth,-0.5,joseph,17.75,-3.25
warmth,-0.5,joshua,18.8125,-2.5625
warmth,-0.5,joyce,18.875,-2.6875
warmth,-0.5,judith,18.6875,-2.5625
warmth,-0.5,judy,18.25,-3.125
warmth,-0.5,julie,18.0625,-3.3125
warmth,-0.5,justin,17.6875,-3.25
warmth,-0.5,kareem,18.5625,-2.9375
warmth,-0.5,karen,18.4375,-3.0625
warmth,-0.5,kayla,18.5,-2.9375
warmth,-0.5,keisha,19.0625,-3.0
warmth,-0.5,kenneth,17.625,-3.5
warmth,-0.5,kenya,18.4375,-3.125
warmth,-0.5,kevin,17.9375,-3.1875
warmth,-0.5,khalid bahdoon,18.46875,-2.90625
warmth,-0.5,kimberely,18.6875,-2.9375
warmth,-0.5,kimberley,18.1875,-3.1875
warmth,-0.5,kimberly,18.375,-3.0625
warmth,-0.5,kristen,18.125,-3.25
warmth,-0.5,kristen smith,18.3125,-3.0625
warmth,-0.5,kyle,17.9375,-3.1875
warmth,-0.5,kyler,18.09375,-3.15625
warmth,-0.5,lakeisha,18.9375,-2.9375
warmth,-0.5,lakesha,18.875,-3.25
warmth,-0.5,lakisha,18.75,-2.9375
warmth,-0.5,lakisha jones,18.875,-2.9375
warmth,-0.5,lamar,18.21875,-3.09375
warmth,-0.5,lamont,18.3125,-2.5625
warmth,-0.5,larry,17.71875,-2.84375
warmth,-0.5,lashonda,18.0625,-4.0625
warmth,-0.5,latasha,18.59375,-3.28125
warmth,-0.5,latisha,18.625,-3.0625
warmth,-0.5,latonya,18.75,-2.9375
warmth,-0.5,latoya,18.6875,-3.25
warmth,-0.5,latoya brown,18.4375,-3.125
warmth,-0.5,lauren,18.5625,-3.1875
warmth,-0.5,laurie,18.0,-3.25
warmth,-0.5,laurie anderson,18.5,-3.125
warmth,-0.5,lawanda,18.1875,-3.3125
warmth,-0.5,lei li,18.5625,-2.75
warmth,-0.5,leroy,17.71875,-3.15625
warmth,-0.5,linda,18.4375,-2.5625
warmth,-0.5,lisa,18.3125,-3.1875
warmth,-0.5,lori,18.375,-2.8125
warmth,-0.5,lucas peterson,18.40625,-2.90625
warmth,-0.5,lukas minsopoulos,18.5,-2.875
warmth,-0.5,mack,18.25,-2.875
warmth,-0.5,mamuud irshad,19.0,-2.125
warmth,-0.5,margaret,18.625,-3.0625
warmth,-0.5,mark,17.78125,-3.40625
warmth,-0.5,marquis,17.6875,-3.0625
warmth,-0.5,mary,18.5,-2.75
warmth,-0.5,matthew,18.0625,-3.0625
warmth,-0.5,matthew wilson,18.40625,-2.90625
warmth,-0.5,maurice,18.0,-2.6875
warmth,-0.5,may,18.5,-2.5625
warmth,-0.5,maya kumar,19.125,-3.0625
warmth,-0.5,megan,18.125,-3.5
warmth,-0.5,melissa,18.6875,-2.9375
warmth,-0.5,meredith,18.25,-3.25
warmth,-0.5,meredith miller,18.375,-3.3125
warmth,-0.5,michael schwartz,17.875,-3.1875
warmth,-0.5,michael smith,18.21875,-3.03125
warmth,-0.5,michell,18.40625,-3.21875
warmth,-0.5,michelle,18.4375,-3.25
warmth,-0.5,michelle wang,19.1875,-3.0
warmth,-0.5,min liu,18.8125,-2.75
warmth,-0.5,misty,18.5,-2.75
warmth,-0.5,monica liu,18.75,-3.125
warmth,-0.5,na li,18.625,-2.8125
warmth,-0.5,nancy,18.125,-3.0625
warmth,-0.5,natalie,19.0625,-2.625
warmth,-0.5,nathan,18.03125,-2.71875
warmth,-0.5,neil,17.9375,-2.9375
warmth,-0.5,nia jackson,18.875,-2.875
warmth,-0.5,nicole minsopoulos,18.9375,-2.5
warmth,-0.5,pamela,18.5625,-2.5625
warmth,-0.5,panav singh,18.3125,-3.0625
warmth,-0.5,patrice,17.875,-3.5625
warmth,-0.5,patricia,18.3125,-2.5625
warmth,-0.5,paul,17.6875,-2.9375
warmth,-0.5,phillips,17.8125,-3.4375
warmth,-0.5,priyanka kaur,18.5,-3.4375
warmth,-0.5,qahhar kazim,18.59375,-2.65625
warmth,-0.5,rabab saeed,18.625,-2.8125
warmth,-0.5,rachel,18.75,-2.9375
warmth,-0.5,rahul kaur,18.25,-2.8125
warmth,-0.5,rasheed,18.3125,-3.125
warmth,-0.5,rebecca,19.0625,-2.625
warmth,-0.5,reginald,17.75,-2.75
warmth,-0.5,richard,17.90625,-3.21875
warmth,-0.5,robert,17.625,-3.1875
warmth,-0.5,robert krueger,17.1875,-3.5
warmth,-0.5,roderick,17.75,-3.25
warmth,-0.5,rose,18.375,-2.9375
