mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,random_008,0.05,-4.7814453125,-5.156464843749999,-4.3841357421875,20,10,competence,,random,008,denoised
steering,competence,random_008,0.1,4.5265625,3.3197900390625,5.659970703125,20,10,competence,,random,008,denoised
steering,competence,random_009,-0.1,-5.8783203125,-6.39818359375,-5.3519970703125015,20,10,competence,,random,009,denoised
steering,competence,random_009,-0.05,-1.921875,-2.40236328125,-1.4780859375000002,20,10,competence,,random,009,denoised
steering,competence,random_009,0.0,0.0,0.0,0.0,20,10,competence,,random,009,denoised
steering,competence,random_009,0.05,-5.346875,-5.5888867187499995,-5.115810546875,20,10,competence,,random,009,denoised
steering,competence,random_009,0.1,-12.753633117675781,-13.310114135742186,-12.279623336791992,20,10,competence,,random,009,denoised
steering,competence,random_010,-0.1,-4.1828125,-4.535720214843749,-3.843116455078125,20,10,competence,,random,010,denoised
steering,competence,random_010,-0.05,-4.695547485351563,-5.089559097290039,-4.344521484375,20,10,competence,,random,010,denoised
steering,competence,random_010,0.0,0.0,0.0,0.0,20,10,competence,,random,010,denoised
steering,competence,random_010,0.05,-3.9577392578125,-4.377898559570312,-3.5858154296875,20,10,competence,,random,010,denoised
steering,competence,random_010,0.1,-6.019140625,-6.460751953125,-5.6970703125,20,10,competence,,random,010,denoised
steering,competence,random_011,-0.1,1.158203125,0.66595703125,1.5869287109374999,20,10,competence,,random,011,denoised
steering,competence,random_011,-0.05,2.160546875,1.6597412109375,2.646875,20,10,competence,,random,011,denoised
steering,competence,random_011,0.0,0.0,0.0,0.0,20,10,competence,,random,011,denoised
steering,competence,random_011,0.05,-1.70625,-2.2051074218749998,-1.1470556640625,20,10,competence,,random,011,denoised
steering,competence,random_011,0.1,-8.137890625,-8.9448388671875,-7.325034179687501,20,10,competence,,random,011,denoised
steering,competence,random_012,-0.1,-1.43662109375,-2.24516357421875,-0.70205078125,20,10,competence,,random,012,denoised
steering,competence,random_012,-0.05,2.819873046875,2.500926513671875,3.129053955078125,20,10,competence,,random,012,denoised
steering,competence,random_012,0.0,0.0,0.0,0.0,20,10,competence,,random,012,denoised
steering,competence,random_012,0.05,-9.03756103515625,-9.53733367919922,-8.536910095214843,20,10,competence,,random,012,denoised
steering,competence,random_012,0.1,-7.469921875,-7.9967675781250005,-7.0136523437500005,20,10,competence,,random,012,denoised
steering,competence,random_013,-0.1,5.505078125,4.9399853515625,6.1377197265625,20,10,competence,,random,013,denoised
steering,competence,random_013,-0.05,0.65078125,0.23826416015625004,1.0492578124999998,20,10,competence,,random,013,denoised
steering,competence,random_013,0.0,0.0,0.0,0.0,20,10,competence,,random,013,denoised
steering,competence,random_013,0.05,0.207861328125,-0.18944824218749992,0.5840429687499997,20,10,competence,,random,013,denoised
steering,competence,random_013,0.1,-6.07421875,-6.635214843749999,-5.5298486328125005,20,10,competence,,random,013,denoised
steering,competence,random_014,-0.1,-8.072265625,-8.5445751953125,-7.5416015625,20,10,competence,,random,014,denoised
steering,competence,random_014,-0.05,-1.7556640625,-2.12013671875,-1.357607421875,20,10,competence,,random,014,denoised
steering,competence,random_014,0.0,0.0,0.0,0.0,20,10,competence,,random,014,denoised
steering,competence,random_014,0.05,-7.958203125,-8.2671923828125,-7.626826171875001,20,10,competence,,random,014,denoised
steering,competence,random_014,0.1,-0.633984375,-1.1022070312499999,-0.07729980468750024,20,10,competence,,random,014,denoised
steering,competence,random_015,-0.1,-4.2328125,-4.4828564453125,-3.9831884765625003,20,10,competence,,random,015,denoised
steering,competence,random_015,-0.05,0.05810546875,-0.2264697265625,0.3557861328124993,20,10,competence,,random,015,denoised
steering,competence,random_015,0.0,0.0,0.0,0.0,20,10,competence,,random,015,denoised
steering,competence,random_015,0.05,-2.1853271484375,-2.9169335937499996,-1.5005017089843757,20,10,competence,,random,015,denoised
steering,competence,random_015,0.1,-9.8607421875,-10.497482910156249,-9.20113037109375,20,10,competence,,random,015,denoised
steering,competence,random_016,-0.1,-3.59453125,-4.2103515625,-3.00681640625,20,10,competence,,random,016,denoised
steering,competence,random_016,-0.05,1.859765625,1.46552734375,2.2455322265625,20,10,competence,,random,016,denoised
steering,competence,random_016,0.0,0.0,0.0,0.0,20,10,competence,,random,016,denoised
steering,competence,random_016,0.05,-3.75078125,-4.095322265625001,-3.4306152343750003,20,10,competence,,random,016,denoised
steering,competence,random_016,0.1,-5.159765625,-6.1182275390625,-4.128876953125001,20,10,competence,,random,016,denoised
steering,competence,random_017,-0.1,3.595703125,3.2554296875,3.9250146484374997,20,10,competence,,random,017,denoised
steering,competence,random_017,-0.05,3.766766357421875,3.4829916381835937,4.031053619384766,20,10,competence,,random,017,denoised
steering,competence,random_017,0.0,0.0,0.0,0.0,20,10,competence,,random,017,denoised
steering,competence,random_017,0.05,5.2203125,4.9144482421874995,5.547905273437499,20,10,competence,,random,017,denoised
steering,competence,random_017,0.1,1.130078125,0.5665869140625001,1.6422314453124998,20,10,competence,,random,017,denoised
steering,competence,random_018,-0.1,6.355078125,5.499931640625,7.174956054687499,20,10,competence,,random,018,denoised
steering,competence,random_018,-0.05,0.400390625,0.03390136718750014,0.7937792968749998,20,10,competence,,random,018,denoised
