axis,strength,mean_delta,ci_95_low,ci_95_high,n_names,n_boot
warmth,-0.1,-3.0077299361533307,-3.0220920939817497,-2.993211045332834,282,5000
warmth,-0.05,-1.3507042269334726,-1.364539513182133,-1.336853427920781,282,5000
warmth,0.0,0.0,0.0,0.0,282,5000
warmth,0.05,0.6690971360984423,0.6542323361051844,0.6836315567611803,282,5000
warmth,0.1,1.036049152942414,1.0215262617625243,1.0512219988707956,282,5000
competence,-0.1,-3.0491749716143235,-3.063569062314135,-3.034635963000304,282,5000
competence,-0.05,-1.468265729593047,-1.481789813312233,-1.4543076185469932,282,5000
competence,0.0,0.0,0.0,0.0,282,5000
competence,0.05,0.8784897107604548,0.8643662724934572,0.8936215473405013,282,5000
competence,0.1,1.5151985046711374,1.4994085054871038,1.530773238256468,282,5000
