name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
tamika,50.20779220779221,48.745098039215684,bertrand,308,1.0285303592681885,5.456085681915283,22.125
tammy,50.5,70.5,neumark,2,0.8961210250854492,5.296601295471191,21.25
tanisha,50.299674267100976,48.43322475570032,bertrand,307,1.4269734621047974,5.621004104614258,21.875
tanisha white,54.35294117647059,49.411764705882355,jacquemet,51,1.3885142803192139,5.763316631317139,21.875
tao wang,44.81818181818182,73.27272727272727,oreopoulos,11,0.8944222927093506,5.379775524139404,21.1875
tara singh,64.77777777777777,68.11111111111111,oreopoulos,9,0.8591799139976501,5.543203353881836,21.6875
tawanda,42.663366336633665,40.7029702970297,flake_leasure,202,1.1344289779663086,5.57577657699585,21.875
teresa,49.0,45.0,neumark,1,0.9153366088867188,5.5432281494140625,21.1875
terrance,50.23762376237624,52.56435643564357,flake_leasure,202,1.087622880935669,5.847752571105957,21.3125
terrell,47.37623762376238,46.42574257425743,flake_leasure,202,0.9083011746406555,5.518808364868164,21.25
thomas,74.0,82.0,neumark,1,0.839207112789154,5.505702495574951,21.0
timothy,42.0,41.666666666666664,neumark,3,0.8023467659950256,5.311211585998535,21.125
timoty,40.0,33.0,neumark,1,1.0561388731002808,5.221290588378906,18.28125
todd,54.69055374592834,59.98371335504886,bertrand,307,0.7239774465560913,5.439934730529785,20.5
tomeka,43.198019801980195,40.603960396039604,flake_leasure,202,1.2917119264602661,5.504507541656494,22.125
tracy,41.0,45.5,neumark,4,0.9284436702728271,5.540014266967773,21.0625
tremayne,46.33876221498371,45.28664495114006,bertrand,307,1.154214859008789,5.671806335449219,21.3125
tyler,54.0,55.333333333333336,neumark,3,0.8337753415107727,5.431827068328857,20.8125
tyrone,45.87012987012987,48.29545454545455,bertrand,308,0.8707639575004578,5.39742374420166,20.625
victoria,70.0,60.0,neumark,1,0.8450912237167358,5.482985973358154,21.5625
vivian zhang,64.16666666666667,74.33333333333333,oreopoulos,6,0.9809043407440186,5.732751846313477,22.125
wiliam,71.66666666666667,73.66666666666667,neumark,3,1.263454556465149,5.477365493774414,21.0625
william,49.333333333333336,47.0,neumark,3,0.8269125819206238,5.425207138061523,20.875
william novak,56.1875,77.58333333333333,widner,48,0.7576487064361572,5.596426963806152,20.875
xavier washington,54.02040816326531,59.285714285714285,gorzig,49,0.8659766912460327,5.783415794372559,21.0
xiuying zhang,53.92857142857143,75.5,oreopoulos,14,1.333869457244873,5.765666961669922,21.75
yong zhang,36.44444444444444,63.666666666666664,oreopoulos,9,0.8717159032821655,5.614286422729492,21.4375
zachary,55.75,54.5,neumark,4,0.7472401261329651,5.399949073791504,21.0625
