layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
21,0.4468,False,1.0,0.0,1.0,0.0,7.574555,10.056951,0.603409,264.4302,1.0,0.0,1.0,0.0,0.98,0.024495,0.97,0.04,5.62305212020874,8.899530410766602,7.249265193939209,11.571496963500977,0.5441970229148865,0.6084150075912476
22,0.4681,False,1.0,0.0,1.0,0.0,7.827302,8.65869,0.591363,278.0619,1.0,0.0,1.0,0.0,0.99,0.02,0.98,0.024495,6.285955905914307,9.151910781860352,5.998993873596191,11.060775756835938,0.530834972858429,0.5962370038032532
23,0.4894,False,1.0,0.0,1.0,0.0,7.420628,7.421135,0.561159,240.202,1.0,0.0,1.0,0.0,0.97,0.04,0.95,0.044721,4.368750095367432,9.760506629943848,4.087709903717041,10.933908462524414,0.47168898582458496,0.5828070044517517
24,0.5106,False,1.0,0.0,1.0,0.0,7.776076,8.334195,0.58183,235.5806,1.0,0.0,1.0,0.0,0.95,0.044721,0.96,0.037417,4.352873802185059,10.90760326385498,4.348308086395264,11.75953197479248,0.4888649880886078,0.6038100123405457
25,0.5319,False,1.0,0.0,1.0,0.0,9.96172,6.668633,0.616757,232.5409,1.0,0.0,1.0,0.0,0.98,0.024495,0.93,0.05099,5.680580139160156,11.0391206741333,3.9774880409240723,11.430191993713379,0.5352659821510315,0.6282250285148621
26,0.5532,False,1.0,0.0,1.0,0.0,10.563076,10.248557,0.595721,225.3338,1.0,0.0,1.0,0.0,0.98,0.04,1.0,0.0,6.681241989135742,11.979700088500977,6.239558219909668,12.315413475036621,0.5314000248908997,0.6052299737930298
27,0.5745,False,1.0,0.0,1.0,0.0,10.047595,10.445699,0.54298,198.061,1.0,0.0,1.0,0.0,0.96,0.04899,1.0,0.0,7.57501220703125,11.238597869873047,7.670775890350342,12.092921257019043,0.482897013425827,0.5583480000495911
28,0.5957,False,1.0,0.0,1.0,0.0,9.826097,9.780734,0.538102,180.5034,1.0,0.0,1.0,0.0,0.98,0.04,1.0,0.0,7.670372009277344,11.647686004638672,8.018101692199707,11.789711952209473,0.48116400837898254,0.5521249771118164
29,0.617,False,1.0,0.0,1.0,0.0,9.720792,9.563699,0.49906,107.5403,1.0,0.0,1.0,0.0,0.98,0.04,1.0,0.0,7.575863838195801,11.410371780395508,8.07299518585205,11.423545837402344,0.44249099493026733,0.5148299932479858
30,0.6383,False,1.0,0.0,1.0,0.0,9.977945,10.159606,0.493276,92.8841,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.024495,7.880600929260254,11.796080589294434,8.766145706176758,12.197957992553711,0.43799200654029846,0.5086659789085388
