race,gender,study,model_margin_mean,model_margin_se,model_warmth_mean,model_competence_mean,human_warm_mean,human_competent_mean,human_callback,n_names,n_distinct_names,model,model_warmth_z,model_competence_z,human_warm_z,human_competent_z
Black,Female,bertrand,5.430555555555555,0.04709951377170326,5.22280918068267,7.996087189917666,60.95460601592677,61.191685480836426,0.0651550874614284,9,9,qwen36_27b,0.1683472794774698,-0.6716431414762662,0.5547965849701063,0.25839561087331686
Black,Female,kline,5.4144736842105265,0.027125694905379343,5.218903162043628,8.01988027212225,46.15782178217822,43.038431474726416,0.22745985845159764,19,19,qwen36_27b,0.14607235367168117,-0.5734512518432396,-0.6169010768452348,-1.0925972823775048
Black,Male,bertrand,5.361111111111111,0.032572331665440483,5.300169282581297,8.198436330164691,54.96516940432035,60.663217914161315,0.05901993992018965,9,9,qwen36_27b,0.6095101845635484,0.16343338520614184,0.08051725761435544,0.21906624729743523
Black,Male,kline,5.3618421052631575,0.018864748392637336,5.176500012863034,8.114112907913603,46.582959874934865,48.18056800416883,0.23362791669626534,19,19,qwen36_27b,-0.09574088103453336,-0.1845617211009548,-0.5832361060406018,-0.7099116269537479
White,Female,bertrand,5.402777777777778,0.02777777777777778,5.161578287389678,8.06247613892275,60.55391400937601,64.54870351423428,0.10004497358163597,9,9,qwen36_27b,-0.18083528496059154,-0.3976619776443783,0.5230674011307682,0.5082300209525706
White,Female,farber,5.458333333333333,0.02350316978407359,5.191248744695753,8.124668152651715,58.406666666666666,60.50666666666667,0.11077829933013521,12,12,qwen36_27b,-0.01163301118989375,-0.14100118457767025,0.3530355448134064,0.20741546431805133
White,Female,kline,5.4144736842105265,0.021486752129677003,5.1754694826263785,8.086707060876591,64.83148714871487,61.242980034845594,0.25479425935411865,19,19,qwen36_27b,-0.10161770515735784,-0.29766316312595015,0.8617911647831445,0.2622130299379943
White,Female,neumark,5.365259740259741,0.02421069372336199,5.167920912997225,8.103932409099551,54.16017316017316,55.93398268398269,0.1324553082231491,77,77,qwen36_27b,-0.1446650748622963,-0.22657571522593084,0.01677285192882053,-0.13289066270516123
White,Male,bertrand,5.263888888888889,0.025038550524055483,5.233401661381409,8.302083857906286,50.042258161126085,59.35588672333956,0.08868571429468208,9,9,qwen36_27b,0.22875321797076753,0.5911773200704362,-0.3093082275622903,0.12177266305458478
White,Male,kline,5.296052631578948,0.017127740517339157,5.268832271388063,8.344657961883058,59.67927566440854,64.3029181865555,0.24669761595201364,19,19,qwen36_27b,0.43080402266063,0.7668767810720317,0.45380831837716396,0.4899383014158095
White,Male,neumark,5.188888888888889,0.0649910422904745,5.209243411513677,8.290487088052554,52.87777777777778,55.298148148148144,0.22873823310653232,45,45,qwen36_27b,0.09098551301854498,0.5433185039748142,-0.08477486596304186,-0.18021044013496992
